model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,note
Naive,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,15.112755555555555,3.887512772397739,2.996063492063492,-1.0889083838028975,0.7876292158258805,64.5043814997324,1.5568921901843953,17.410850473186123,4.172631121149594,3.291482649842272,-1.0779070449005217,0.784236153182909,66.44657397551136,2.203789023711625,0.0,
SeasonalNaive(s=7),M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,13.791767301587301,3.7137268749313406,2.996412698412698,-0.9063193497597275,0.7524193379021529,64.36533562242663,1.7661914785085975,16.361037223974765,4.0448778997609764,3.161135646687697,-0.9526165342660349,0.7602252372908443,64.38007169290704,2.59657683376552,0.0,
LR,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,7.3605331683239426,2.713030255696376,2.175527732894381,-0.017384247899057126,0.5496732790122904,47.36724549852949,1.3729886170064014,8.566003196532822,2.926773513022971,2.263650267843024,-0.022314126247201305,0.5500801615212979,46.915710730110106,1.864103666903613,0.493,
GRNN,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""sigma"": 50.0}",16,standard,42,7.23845503735742,2.6904377036752627,2.1634353405263527,-0.0005104203354788783,0.5450959168083022,47.21831649144898,1.3793006073051146,8.491272662310084,2.9139788369701805,2.247760156587694,-0.013395371602231254,0.5476754324097302,46.70038454600068,1.8542021251004899,0.669,
P_NN,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""sigma"": 0.2}",16,standard,42,8.158242732539682,2.856263771527357,2.2351031746031746,-0.12764489430496395,0.5786930940865845,49.45490378468496,1.0990663040289064,10.129577795741325,3.182699765252972,2.4569858044164037,-0.2089197535786449,0.59818089549945,51.69429330735342,1.7091536217131904,0.74,
RBFNN,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}",60,standard,42,7.312291259613233,2.704124860211383,2.171394627558524,-0.010716176865551263,0.5478690020688765,47.339612287864675,1.3772151902284884,8.543559623433953,2.9229368148206616,2.2620500266778456,-0.019635586291516516,0.5493590631659097,46.933973662943124,1.8717377983434564,11.683,
XGBoost,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.306749701534913,2.70310001693147,2.173739280337379,-0.009950214160300064,0.5476613637777218,47.43292570255277,1.3357027062905813,9.196900043833027,3.0326391219254933,2.3991443322058355,-0.09760884005969239,0.5699773523990783,49.38125516295228,1.8524969406197325,7.027,
LR+XGB (average),M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.269958165056829,2.6962859946706,2.1697407077844693,-0.004864831238599265,0.546280809339919,47.30775040977676,1.3463439898239533,8.834943824702444,2.972363339953991,2.335545637884402,-0.0544109860068247,0.5586486616974667,48.22750312143218,1.8373777954668908,7.055,
LR-XGB (residual),M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.31303930458088,2.704263172211773,2.1750875081548307,-0.010819572794813492,0.5478970247607065,47.462365012374555,1.3332713405443455,9.204222106136516,3.0338460913725527,2.402974313997934,-0.09848269541024224,0.5702041994528171,49.47715900050416,1.8586779175253632,6.079,
Naive,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,15.112755555555555,3.887512772397739,2.996063492063492,-1.0889083838028975,0.7876292158258805,64.5043814997324,1.5568921901843953,17.410850473186123,4.172631121149594,3.291482649842272,-1.0779070449005217,0.784236153182909,66.44657397551136,2.203789023711625,0.0,
SeasonalNaive(s=7),M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,13.791767301587301,3.7137268749313406,2.996412698412698,-0.9063193497597275,0.7524193379021529,64.36533562242663,1.7661914785085975,16.361037223974765,4.0448778997609764,3.161135646687697,-0.9526165342660349,0.7602252372908443,64.38007169290704,2.59657683376552,0.0,
LR,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,7.3605331683239426,2.713030255696376,2.175527732894381,-0.017384247899057126,0.5496732790122904,47.36724549852949,1.3729886170064014,8.566003196532822,2.926773513022971,2.263650267843024,-0.022314126247201305,0.5500801615212979,46.915710730110106,1.864103666903613,0.022,
GRNN,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""sigma"": 50.0}",16,standard,42,7.23845503735742,2.6904377036752627,2.1634353405263527,-0.0005104203354788783,0.5450959168083022,47.21831649144898,1.3793006073051146,8.491272662310084,2.9139788369701805,2.247760156587694,-0.013395371602231254,0.5476754324097302,46.70038454600068,1.8542021251004899,0.871,
P_NN,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""sigma"": 0.2}",16,standard,42,8.158242732539682,2.856263771527357,2.2351031746031746,-0.12764489430496395,0.5786930940865845,49.45490378468496,1.0990663040289064,10.129577795741325,3.182699765252972,2.4569858044164037,-0.2089197535786449,0.59818089549945,51.69429330735342,1.7091536217131904,0.734,
RBFNN,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}",60,standard,42,7.312291259613233,2.704124860211383,2.171394627558524,-0.010716176865551263,0.5478690020688765,47.339612287864675,1.3772151902284882,8.543559623433953,2.9229368148206616,2.2620500266778456,-0.019635586291516516,0.5493590631659097,46.933973662943124,1.8717377983434564,5.941,
XGBoost,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.306749701534913,2.70310001693147,2.173739280337379,-0.009950214160300064,0.5476613637777218,47.43292570255277,1.3357027062905813,9.196900043833027,3.0326391219254933,2.3991443322058355,-0.09760884005969239,0.5699773523990783,49.38125516295228,1.8524969406197325,6.028,
LR+XGB (average),M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.269958165056829,2.6962859946706,2.1697407077844693,-0.004864831238599265,0.546280809339919,47.30775040977676,1.3463439898239533,8.834943824702444,2.972363339953991,2.335545637884402,-0.0544109860068247,0.5586486616974667,48.22750312143218,1.8373777954668908,5.261,
LR-XGB (residual),M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.31303930458088,2.704263172211773,2.1750875081548307,-0.010819572794813492,0.5478970247607065,47.462365012374555,1.3332713405443455,9.204222106136516,3.0338460913725527,2.402974313997934,-0.09848269541024224,0.5702041994528171,49.47715900050416,1.8586779175253632,5.305,
Naive,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,8.063918044871794,2.8397038657000477,2.218602564102564,-1.0160140755539473,0.7349227624344821,60.37815381835404,19.092561696684115,8.127574394904459,2.850890105722151,2.2165859872611464,-0.4660092267111404,0.7429677004131198,66.51148449675807,2.7600257404290813,0.0,
SeasonalNaive(s=7),M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},0,none,42,7.688206141025641,2.7727614648623566,2.131211538461538,-0.9220844891801485,0.7175978946051728,58.50321369891426,11.658897336905703,8.206476410828024,2.864694819841727,2.2132579617834396,-0.4802411583711663,0.7465653335466087,66.23754139148446,6.085345931316496,0.0,
LR,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,4.030009093885328,2.007488254980668,1.604507226399023,-0.00751954728136095,0.519543193121465,44.18282874781168,8.974778377032807,5.39158856688948,2.3219794501436657,1.7570176272245002,0.027493542151306616,0.6051288083736097,50.103371144787765,3.901992843556399,0.01,
GRNN,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""sigma"": 5.0}",16,standard,42,4.0040946072965875,2.001023389992378,1.607535519088596,-0.0010408145570275362,0.5178700692111347,44.33103121386779,8.30819175189536,5.543224253395577,2.3544052865629523,1.7925595664010063,0.00014229260064313465,0.6135792740965973,50.91018912166423,3.9799699355138816,0.834,
P_NN,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""sigma"": 0.75}",16,standard,42,4.04178192295641,2.0104183452596156,1.572814935897436,-0.010462805010956533,0.5203015081232497,43.774729238515604,7.599464128373378,6.488403913498726,2.547234561931572,1.87801050955414,-0.17034425544985998,0.663832324189758,55.00375884206513,3.5102970937805256,0.68,
RBFNN,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""alpha"": 0.1, ""gamma"": 1.0, ""n_centers"": 10}",60,standard,42,4.0251301322677,2.0062726963869344,1.6015196963872185,-0.0062997859642826,0.5192286033889235,44.125432763779145,8.768791737467884,5.305916423137949,2.3034574932344527,1.7472957694125009,0.0429466339483634,0.6003018191801757,49.961617590476756,3.8354869332491948,5.607,
XGBoost,M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.146593883941135,2.0363187088324692,1.6288393891835824,-0.03666624451217926,0.5270045897279672,44.69920984650791,9.582399653500117,5.3194486649593244,2.3063929988099003,1.7637240654222528,0.0405057591677328,0.6010668384359381,50.411534961428096,3.5090514062897897,6.127,
LR+XGB (average),M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.070960626046883,2.017662168463017,1.6137753656692615,-0.01775760585211983,0.5221762284500886,44.37995340135787,9.276633770356302,5.34045675096216,2.3109428272811425,1.7575281233705604,0.03671643083688336,0.6022525648130328,50.19314649611242,3.7030280909452777,5.185,
