model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s
LR,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,7.3605331683239426,2.713030255696376,2.175527732894381,-0.017384247899057126,0.5496732790122904,47.36724549852949,1.3729886170064014,8.566003196532822,2.926773513022971,2.263650267843024,-0.022314126247201305,0.5500801615212979,46.915710730110106,1.864103666903613,0.08
LR-XGB (residual),M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.31303930458088,2.704263172211773,2.1750875081548307,-0.010819572794813492,0.5478970247607065,47.462365012374555,1.3332713405443455,9.204222106136516,3.0338460913725527,2.402974313997934,-0.09848269541024224,0.5702041994528171,49.47715900050416,1.8586779175253632,5.975
LR,M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,4.001935488421122,2.000483813586384,1.5815566832610755,-0.0005010255835395938,0.5177304254308,43.629559076413784,8.745514089424283,4.850956322761249,2.2024886657509155,1.6781726449236807,0.1250099498321069,0.573988431155052,48.66748692964677,3.912127464558648,0.025
LR-XGB (residual),M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.063296167159062,2.0157619321633846,1.5908391756024796,-0.01584145827802863,0.5216844423425749,43.83183715189777,8.815935401384824,4.79214177134234,2.189096108292722,1.6817489540488528,0.13561861003693432,0.570498209768618,48.93723108997458,3.8874946723935984,10.51
LR,N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,0.015
LR-XGB (residual),N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.333321156054457,2.3093984402987844,1.9195163597968696,-0.23429088482031224,0.7329576913794631,62.55887301354617,3.3215966000967594,4.679212141682377,2.16314866379599,1.7681598041443223,-0.2116366884167371,0.7057980818520188,59.397783423409365,4.205068020253378,6.532
LR,N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,153.57083492845794,12.392370028709518,9.86939933741544,0.16846348047192283,0.4159820716048506,34.57583006066338,0.6084517399038339,205.6223851477789,14.339539223691217,11.141617867165255,0.2588274728647224,0.48649492568369396,40.123373437841536,0.62185815126519,0.011
LR-XGB (residual),N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,158.85448822129626,12.603748974860467,10.007030300703148,0.13985420273004812,0.4230775546891851,34.80096516755009,0.6028069357074654,202.66922065488424,14.236194036851431,10.961514001742676,0.2694722496416859,0.48298875242337586,39.13963743583572,0.6044580812587246,6.905
LR,N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,22.121535572971776,4.703353651701281,3.4966883742269155,0.03819274004682072,0.5131464395559379,39.37344562383443,0.8682197354640178,19.658609097174086,4.433803006130751,3.492097883087328,-0.05180351489516477,0.5202530178203465,44.6846688968021,1.2961836959440327,0.014
LR-XGB (residual),N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,22.318606451802413,4.72425723810658,3.501918219919053,0.0296244288028108,0.5154270677485359,39.402252132106504,0.8753519513238462,19.893133880008307,4.460171956327279,3.500961943737221,-0.06435140115180316,0.5233470943721303,44.79178007004501,1.279937258995549,5.959
LR,N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,1.6328380334848944,1.2778255097957993,0.8435138580167302,0.02268406858896721,2.006186050379405,166.4662038517874,0.6325619685318218,1.3157798107060052,1.1470744573505267,0.8571858049201146,-0.02210482374430267,1.611002348990073,157.0940017377655,0.6141574023080745,0.011
LR-XGB (residual),N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.6421197038335154,1.281452185543228,0.8411689451717003,0.017128634359858452,2.011879931302868,168.17285953585875,0.6702855255126992,1.4270949294255526,1.1946107857480412,0.8727272986649869,-0.10857500581668966,1.677764481317249,158.93397025986246,0.6469173243162316,5.902
LR,R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,55.86248272495644,7.474120866359899,5.098668280401342,-0.05072559365971152,1.0759045232050122,89.90307176351305,1.534883973521318,68.69126047976773,8.288019092628089,5.640236283663765,-0.044864664075809024,1.1272547554680319,91.40346584251877,1.8249838135443173,0.008
LR-XGB (residual),R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,55.43221215249403,7.445281200364029,5.0996326770201525,-0.042632571641503025,1.071753034669105,89.79618600545632,1.64275653844751,70.5873331035046,8.401626812915735,5.716989898731606,-0.07370587722617317,1.14270655903181,91.76611491024876,1.9813444919931829,7.456
LR,R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,7.041915450053448,2.65366076393601,1.9937033643500504,0.0834609195354361,0.7549703221096851,67.28898489770721,1.5434353427329148,6.482149897726687,2.5460066570468127,1.8974653696979378,0.08977543175830482,0.7072426634803226,62.52055378314043,0.9984928028599571,0.022
LR-XGB (residual),R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.276050515424541,2.6974155251693315,2.0329130599651872,0.05298711747947649,0.7674186149099887,68.13065585253656,1.5452658412131282,6.4827238175658985,2.546119364359397,1.9025153338894756,0.08969484183889631,0.7072739718901907,62.71719457330026,1.0084620575633103,7.931
