category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,features
M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
M01AE,A_lag1,pacf_train,1,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,lag_1
M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"lag_1, lag_2, lag_3, lag_4 ..."
N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
N02BE,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
N02BE,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
N05B,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
N05B,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
N05C,A_lag1,pacf_train,1,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,lag_1
N05C,B_rich,pacf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"lag_1, lag_2, lag_3, lag_4 ..."
R03,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
R03,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
R06,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
R06,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,lag_1
