model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,note
Naive,M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,116.87771555555555,10.810999748198848,8.296888888888889,-1.3783796475988885,0.3138819099371895,23.32963922164917,0.31766608233445126,119.25805777777776,10.92053376798853,8.319555555555553,-0.6164832561297386,0.2969670352242758,22.935915307261524,0.6606806987698898,0.0,
SeasonalNaive(s=52),M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,129.6039682534853,11.384373863040746,8.50768518511111,-1.6373499762289798,0.33052900701117705,24.06189369717972,0.38650617731179043,115.75853111111113,10.759113862726387,9.071777777777777,-0.5690489245092532,0.29257747041816734,26.511852462194813,0.5543948566692719,0.0,
LR,M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},1,none,42,58.25809865115139,7.6326993030743315,6.062764552912976,-0.18551150218062729,0.22160450384104116,17.337583988198872,0.2288240041505057,76.0256622599075,8.71926959440454,6.422269794233635,-0.03048978299070426,0.23710705866426016,18.51808775832242,0.5814653539143978,0.171,
GRNN,M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""sigma"": 50.0}",16,standard,42,49.46946913203555,7.033453570759925,5.716111161515504,-0.006669047233634151,0.20420626136935,16.40192096108711,0.21757425251330967,77.23656887723547,8.788433812530846,6.482630214902046,-0.04690301584155887,0.23898787266446786,18.7313164220828,0.5685967834019984,0.013,
P_NN,M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""sigma"": 1.0}",16,standard,42,50.057264350268895,7.075115854194113,5.1606091111111105,-0.018630268218806867,0.20541586616088153,14.73258389794344,0.19602422167875744,85.33173722216223,9.23751791457869,7.150462444444444,-0.15662896919817948,0.2512000206404609,20.89121494731143,0.535113122365896,0.016,
RBFNN,M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}",60,standard,42,51.676151321860004,7.188612614535575,5.818880033136583,-0.051573484183402796,0.20871108221281018,16.686023356224492,0.219603747776795,75.87744189255329,8.7107658614242,6.3840831157738425,-0.02848073013079655,0.23687581279064607,18.444487948463337,0.573705493770816,9.687,
XGBoost,M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,65.97469678301235,8.12248094999381,6.179791573418511,-0.34253886927349275,0.2358246132081587,17.68829609227071,0.23085327339395617,78.96787195279003,8.886386889663877,6.5979072367350255,-0.07036996210136426,0.24165155518450726,19.058644348776905,0.5765826234359173,4.868,
LR+XGB (average),M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,59.65115115213434,7.7234157697313135,5.925050279586479,-0.21385914484822988,0.22423832665856466,16.96005881281627,0.22470326561551074,75.59049297006412,8.694279324364045,6.469396655722527,-0.024591281172701374,0.23642748689963322,18.6653104758881,0.5777140620531118,5.021,
LR-XGB (residual),M01AB,A_lag1,pacf_train,1,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,65.17961498245822,8.073389311959273,6.111614973242644,-0.3263595115265885,0.234399307735296,17.48179660843322,0.2268285137362533,78.15783591959223,8.840692049811047,6.637830139509686,-0.059390329287236865,0.24040895464826603,19.160123355101774,0.5818005915964,5.401,
Naive,M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,116.87771555555555,10.810999748198848,8.296888888888889,-1.3783796475988885,0.3138819099371895,23.32963922164917,0.31766608233445126,119.25805777777776,10.92053376798853,8.319555555555553,-0.6164832561297386,0.2969670352242758,22.935915307261524,0.6606806987698898,0.0,
