model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s
LR,M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},1,none,42,53.0614683834258,7.284330331844225,5.794794692892386,-0.07976371607695354,0.21149010918750533,16.615655355185332,0.21859074434320744,75.19148156849673,8.671302184129944,6.475317760284488,-0.01918288142464908,0.2358026590882624,18.69895700095755,0.5749275958283854,0.01
LR-XGB (residual),M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,60.910347510206,7.8045081529976,6.116983788989806,-0.2394829087636423,0.22659272798441993,17.49156164303929,0.22843520002419676,83.20549244919212,9.121704470612503,6.832333635787778,-0.1278087859922441,0.24805065305235202,19.76377531461688,0.566887830152261,5.502
LR,M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},1,none,42,28.86272463150085,5.372403989975144,4.376200802707008,0.055148447407143864,0.1999710327245609,16.335850128153716,0.21311247015909435,85.1469526480301,9.227510641989534,7.280131693320726,0.18757177905207012,0.3486226352359398,27.577591718542614,0.6299231042993104,0.01
LR-XGB (residual),M01AE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,31.091485608815184,5.57597396055749,4.337567044984799,-0.01781237998042351,0.2075482918668408,16.053545188611565,0.20056520486717463,88.46075266961462,9.405357657719064,7.41667267008555,0.15595321171188692,0.35534183586306667,27.927405964225464,0.6256792169928912,5.011
LR,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},1,none,42,55.76310318721868,7.467469664298522,6.280953746808672,-0.806637102030147,0.33857545077424034,27.31280964135922,0.47435270586959954,47.144018591691996,6.866150201655364,5.402531053338721,-0.6509549274676998,0.325091770136531,25.549350364411723,0.9667978071238208,0.007
LR-XGB (residual),N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,69.66963558900427,8.346833866143752,6.913166634347476,-1.2571869452355888,0.37844586798636665,29.223996410418017,0.5036522542469116,50.87481615369641,7.132658421212697,5.488692541689199,-0.7816051945083868,0.3377101408839319,25.65940823193898,0.9564197414968693,4.729
LR,N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},1,none,42,1499.4320458283644,38.72250051105125,31.647842601792338,0.6234222195303742,0.18568875091216544,15.244489991691704,0.18623449028963446,2636.4831549119726,51.34669565718882,39.33803413707109,0.6392971557955466,0.25278668136229604,19.063345346674403,0.3279954691336632,0.009
LR-XGB (residual),N02BE,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,2519.5993305774455,50.19561067043059,36.23937158967056,0.36721032058680025,0.24070656914332045,16.309933721693387,0.22790184435382183,2452.061228827669,49.51829186096456,37.53014042862547,0.6645283100884678,0.24378520381983526,18.65753345413539,0.3263543068354718,4.493
LR,N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},1,none,42,280.1724738223089,16.738353378463156,11.053311405027056,-0.1819309376658278,0.2608845601381415,16.80006438157009,0.223534293627507,168.22555190185386,12.970179331908016,9.770105004562676,-0.11165387960189288,0.22084255599191918,17.156348590497235,0.3310900704837283,0.009
LR-XGB (residual),N05B,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,360.994910451728,18.999866064047083,13.19543476661195,-0.5228871244268123,0.29613257581120767,19.572983937896183,0.24129246200189688,176.69596510121985,13.29270345344467,10.295419549213435,-0.16762734848609573,0.22633415711373073,18.073466471656904,0.3277941795074284,4.658
