model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,orig_MSE,orig_RMSE,orig_MAE,orig_R2,orig_nRMSE,orig_SMAPE,orig_RMSPE
SeasonalNaive(store x dow x promo median),rossmann,V0_customers_contemporaneous,n/a,16,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04249867156016976,0.20615205931585975,0.14235140636916543,0.7623307906666678,0.023414625282067468,1.6243560511013106,0.02350881555436937,0.027157076581401977,0.16479404291843192,0.1211029477207522,0.8420785777533428,0.018725960763512208,1.3833889587999044,0.018668301172550698,0.0,1624685.9495689592,1274.631691732541,850.470064322646,0.8335364024980008,0.17642484346513557,12.038068961938212,0.15704658120209283
LR,rossmann,V0_customers_contemporaneous,n/a,16,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},1,none,42,0.046735210149717196,0.21618327907060064,0.16492017691170477,0.7386384082950841,0.024553965109468653,1.8768142791614566,0.02489731615762205,0.04653628668261375,0.21572270785110628,0.1648384298827665,0.7293863145774162,0.024513112801158178,1.875840458623015,0.024654517411979958,4.346,9878738.442538068,3143.046045246246,1295.4890297080206,-0.012165052798337905,0.43503657576767424,16.330272137998534,0.2453722222826944
XGBoost,rossmann,V0_customers_contemporaneous,n/a,16,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.008265425405432533,0.09091438503027192,0.06762434887578192,0.9537765052695464,0.010326000454702484,0.7717966061053617,0.010690467924536318,0.007564932810248255,0.08697662220532743,0.06474866112268454,0.9560090739143495,0.00988337191026956,0.7394837913816967,0.009939451625747973,626.03,457573.50188776804,676.4417949001732,459.21015568477435,0.9531175047915974,0.0936279386057977,6.464625165876003,0.08454118399750249
LR+XGB (average),rossmann,V0_customers_contemporaneous,n/a,16,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.01791154853011064,0.13383403352701673,0.10336386439181339,0.8998316083583955,0.0152007879786514,1.1761168460769789,0.015506101858480581,0.017563289688760985,0.13252656220079423,0.10250806118752814,0.8978675160904969,0.01505932593160296,1.1661181630794946,0.015111273245355867,559.944,1871154.3613457843,1367.9014443101462,779.1527487590986,0.8082835106970596,0.189334534637312,10.217472351253786,0.13418871467853719
LR-XGB (residual),rossmann,V0_customers_contemporaneous,n/a,16,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.00812328259414412,0.09012925492948513,0.06684324137197749,0.9545714235183087,0.010236825856259943,0.7623774408178848,0.01054893774471946,0.007586083521338365,0.08709812581989561,0.06464773345232094,0.9558860801757979,0.009897178670991819,0.7378613765514147,0.009926612308330062,517.645,508745.24690879544,713.2637989613628,462.76742758418015,0.9478745021245804,0.0987245609043833,6.454344069022374,0.0846271797936395
SeasonalNaive(store x dow x promo median),rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04249867156016976,0.20615205931585975,0.14235140636916543,0.7623307906666678,0.023414625282067468,1.6243560511013106,0.02350881555436937,0.027157076581401977,0.16479404291843192,0.1211029477207522,0.8420785777533428,0.018725960763512208,1.3833889587999044,0.018668301172550698,0.0,1624685.9495689592,1274.631691732541,850.470064322646,0.8335364024980008,0.17642484346513557,12.038068961938212,0.15704658120209283
LR,rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},1,none,42,0.1451223859374355,0.3809493220067933,0.2954060820204285,0.1884188033151969,0.04326799186895391,3.3641325845949686,0.043617081858986405,0.1317175115148759,0.36292907229219856,0.2810540992330365,0.23404801356767424,0.04124054151062674,3.2028719585993444,0.041561406008960244,3.376,8104251.440691093,2846.796698166396,1979.6237807164437,0.16964700147981504,0.39403198987496896,27.459402673308013,0.40583795751003865
XGBoost,rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 600, ""subsample"": 0.8}",12,none,42,0.05855658967757215,0.24198468893211436,0.1724902690183529,0.6725286259778482,0.027484473519917053,1.9658506598237904,0.02766254428705526,0.044984613602562784,0.21209576516885664,0.15244083834620925,0.7384094662015976,0.02410097419980757,1.73889846751542,0.024070550991612885,427.9,2745170.946042967,1656.8557408667077,1081.079984615483,0.7187326993518246,0.22932939501088156,15.084180931611101,0.21180057329561497
LR+XGB (average),rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",12,none,42,0.07756498344306594,0.27850490739494327,0.21119007172662652,0.5662262463718091,0.03163241767999072,2.4031052913003554,0.03179931339830891,0.06367692314736674,0.2523428682316319,0.19236653536499326,0.629711606196601,0.02867435354927594,2.19032095502155,0.028719505210121617,463.362,4421976.256669009,2102.8495563565666,1394.4962799774953,0.5469290074498157,0.2910604735605333,19.004026925836072,0.2563467084031857
LR-XGB (residual),rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 600, ""subsample"": 0.8}",12,none,42,0.05852491834918986,0.24191923931177914,0.1724396489470515,0.6727057444452925,0.02747703979191992,1.9654802210744566,0.027668158606062462,0.04514049718026058,0.21246293130864163,0.1525030179984466,0.737502985851213,0.024142696209933305,1.7394033529784685,0.024090101264676665,376.525,2761295.2795292893,1661.714560184537,1081.7771860347652,0.7170806172616414,0.23000191589917696,15.0891625010985,0.21149626420584358
SeasonalNaive(store x dow x promo median),rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04249867156016976,0.20615205931585975,0.14235140636916543,0.7623307906666678,0.023414625282067468,1.6243560511013106,0.02350881555436937,0.027157076581401977,0.16479404291843192,0.1211029477207522,0.8420785777533428,0.018725960763512208,1.3833889587999044,0.018668301172550698,0.0,1624685.9495689592,1274.631691732541,850.470064322646,0.8335364024980008,0.17642484346513557,12.038068961938212,0.15704658120209283
LR,rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},1,none,42,0.07958532341445253,0.2821087085051657,0.21589682423507944,0.5549277143011266,0.032041735214178774,2.462152550922638,0.03261918834800178,0.07601001674110364,0.27569914171267135,0.2123551497419916,0.5579932945739913,0.03132838553394113,2.4222195132643445,0.03166518363054394,3.403,6346186.478704395,2519.1638451487024,1542.6011187893334,0.3497764709887773,0.3486835373120845,20.936957079629565,0.3035457108816388
