model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,orig_MSE,orig_RMSE,orig_MAE,orig_R2,orig_nRMSE,orig_SMAPE,orig_RMSPE,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds
SeasonalNaive(store x dow x promo median),rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04249867156016976,0.20615205931585975,0.14235140636916543,0.7623307906666678,0.023414625282067468,1.6243560511013106,0.02350881555436937,0.027157076581401977,0.16479404291843192,0.1211029477207522,0.8420785777533428,0.018725960763512208,1.3833889587999044,0.018668301172550698,0.0,1624685.9495689592,1274.631691732541,850.470064322646,0.8335364024980008,0.17642484346513557,12.038068961938212,0.15704658120209283,,,,,,,
S1 [linear],rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.1451223859374355,0.3809493220067933,0.2954060820204285,0.1884188033151969,0.04326799186895391,3.3641325845949686,0.043617081858986405,0.1317175115148759,0.36292907229219856,0.2810540992330365,0.23404801356767424,0.04124054151062674,3.2028719585993444,0.041561406008960244,3.082,8104251.440691093,2846.796698166396,1979.6237807164437,0.16964700147981504,0.39403198987496896,27.459402673308013,0.40583795751003865,linear,0.0,0.3809493220067933,0.0,,0.36292907229219856,
AR-LRX [linear],rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.05923156265431093,0.24337535342411099,0.17443842306862092,0.6687539128441506,0.027642424345541778,1.986961524548712,0.027808965675155506,0.044889834242199236,0.21187221205764392,0.1528399015237372,0.7389606187287623,0.02407557129861652,1.7419374852952758,0.024025967882248797,309.345,2854038.6559659834,1689.3900248213802,1094.2759728233918,0.7075782293753978,0.2338325436389778,15.125557746864615,0.21147022397754897,linear,0.9,0.3809493220067933,36.1135,0.5872126052508602,0.36292907229219856,5.0
S1 [structural],rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04086856223602703,0.2021597443509143,0.1397229529330875,0.7714470001850613,0.022961180580993865,1.5939818702559667,0.02309608242933547,0.02583739651608269,0.1607401521589509,0.11826742870241104,0.8497526641816482,0.018265306980418963,1.3510075626849907,0.018246787375316844,3.438,1539178.7175824912,1240.6364163535145,830.9996999165927,0.8422973827063185,0.17171947549397937,11.759787651618328,0.15478134901094792,structural,0.0,0.2021597443509143,0.0,,0.1607401521589509,
AR-LRX [structural],rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 6, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.03886830010313397,0.19715045042589674,0.13727057199804732,0.7826332491225374,0.022392228029313,1.5656596367745919,0.02257634568989278,0.0238785151095025,0.15452674561221594,0.11498191502639846,0.8611437775370352,0.01755926199759456,1.3127191226921628,0.017525539642409816,311.458,1444724.1065060727,1201.9667659740317,812.3652257256576,0.8519751018769707,0.16636711601688323,11.440740952992329,0.14701079712250842,structural,0.8,0.2021597443509143,2.4779,-0.02201056792347167,0.1607401521589509,5.0
S1 [struct_linear],rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04060417961967766,0.20150478808127031,0.13959756864278058,0.7729255312798572,0.022886791046973453,1.5925148399278757,0.023035509564575864,0.025511695451200318,0.1597238099069776,0.11785637056404842,0.8516466521165903,0.018149817459100697,1.3462762015361083,0.018135396196866733,5.142,1521427.4659082575,1233.46157861048,828.526040071001,0.8441161571067743,0.1707263889153913,11.720249463073161,0.15329117219182078,struct_linear,0.0,0.20150478808127031,0.0,,0.1597238099069776,
AR-LRX [struct_linear],rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 6, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.03882985036569994,0.19705291260394997,0.1370314829491847,0.7828482751071045,0.022381149742929193,1.5629701555703244,0.022557512928395543,0.023788471654570785,0.15423511809756812,0.11465519173071573,0.8616673902471218,0.017526123631060528,1.3090642399594636,0.017493767663551384,329.572,1439596.4266895487,1199.8318326705407,809.7904492089624,0.8525004785070348,0.16607161475458138,11.408227310271107,0.146656434989743,struct_linear,0.7,0.20150478808127031,2.2093,-0.027830343153494086,0.1597238099069776,5.0
XGBoost,rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.058587026786533124,0.24204757132954902,0.17195985468471922,0.6723584097485973,0.02749161566430143,1.96010115098513,0.027669515342658706,0.04491372848866793,0.21192859290022178,0.15157856934136685,0.738821671026695,0.024081977995286066,1.7291512466938392,0.024051784330813286,341.059,2726630.853604865,1651.25129934994,1074.1515032253592,0.7206322975394528,0.22855367075757882,14.996420016283105,0.21220898537607136,,,,,,,
"LR-XGB (residual, tanpa gerbang)",rossmann,V1_customers_dropped,n/a,15,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.05924815468478901,0.2434094383642282,0.17305794223642088,0.6686611237140393,0.027646295692271252,1.972942899038244,0.027830880473112513,0.044748957785714555,0.21153949462385163,0.15107552854976153,0.7397798309993631,0.024037763781426018,1.7233071169936571,0.02399384572812748,360.193,2725978.262789404,1651.0536825886081,1070.7261445398913,0.7206991613015645,0.22852631814551824,14.94666075709436,0.2114750162808783,,,,,,,5.0
SeasonalNaive(store x dow x promo median),rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04249867156016976,0.20615205931585975,0.14235140636916543,0.7623307906666678,0.023414625282067468,1.6243560511013106,0.02350881555436937,0.027157076581401977,0.16479404291843192,0.1211029477207522,0.8420785777533428,0.018725960763512208,1.3833889587999044,0.018668301172550698,0.0,1624685.9495689592,1274.631691732541,850.470064322646,0.8335364024980008,0.17642484346513557,12.038068961938212,0.15704658120209283,,,,,,,
S1 [linear],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.07958532341445253,0.2821087085051657,0.21589682423507944,0.5549277143011266,0.032041735214178774,2.462152550922638,0.03261918834800178,0.07601001674110364,0.27569914171267135,0.2123551497419916,0.5579932945739913,0.03132838553394113,2.4222195132643445,0.03166518363054394,4.039,6346186.478704395,2519.1638451487024,1542.6011187893334,0.3497764709887773,0.3486835373120845,20.936957079629565,0.3035457108816388,linear,0.0,0.2821087085051657,0.0,,0.27569914171267135,
AR-LRX [linear],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.03641006517318424,0.1908142163812336,0.13190448420268427,0.7963806612346913,0.021672562427389748,1.5032073655500138,0.02200919319284559,0.021389075943886112,0.1462500459619966,0.11079465814336446,0.8756201432994641,0.016618759840134306,1.262286090118191,0.016595546439105414,356.435,1431473.0630548503,1196.4418343801133,801.0526746527528,0.853332789720662,0.16560239692356793,11.03267880177113,0.14241493073861947,linear,0.9,0.2821087085051657,32.3615,0.5336476374746978,0.27569914171267135,5.0
S1 [structural],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,{},0,none,42,0.04086856223602703,0.2021597443509143,0.1397229529330875,0.7714470001850613,0.022961180580993865,1.5939818702559667,0.02309608242933547,0.02583739651608269,0.1607401521589509,0.11826742870241104,0.8497526641816482,0.018265306980418963,1.3510075626849907,0.018246787375316844,3.838,1539178.7175824912,1240.6364163535145,830.9996999165927,0.8422973827063185,0.17171947549397937,11.759787651618328,0.15478134901094792,structural,0.0,0.2021597443509143,0.0,,0.1607401521589509,
AR-LRX [structural],rossmann,V2_customers_lagged,n/a,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.03432916759194088,0.18528132013762444,0.1271100327575976,0.8080178551676251,0.02104413944341085,1.4507332475502661,0.02134430002000002,0.01838851023321862,0.1356042412066032,0.10184953787774408,0.8930687667973878,0.015409050322635653,1.1623178919113715,0.015402145479948554,366.084,1129759.0174810262,1062.9012265874126,722.9528023824136,0.8842460905074545,0.1471187196551622,10.14679344227479,0.13070633828028733,structural,0.7,0.2021597443509143,8.3491,0.07512880995151983,0.1607401521589509,5.0
