varian,model,RMSE (asli),vs naif per toko (%),vs XGBoost polos (%),vs kerangka lama (%)
V1_customers_dropped,SeasonalNaive(store x dow x promo median),1274.631691732541,0.0,-22.80813391430278,-22.79889471951591
V1_customers_dropped,S1 [linear],2846.796698166396,123.34268923573461,72.40238958704317,72.42302465314388
V1_customers_dropped,AR-LRX [linear],1689.3900248213802,32.53946499047734,2.3096863261488174,2.321931905488762
V1_customers_dropped,S1 [structural],1240.6364163535145,-2.6670665416155184,-24.866892347523066,-24.857899568209074
V1_customers_dropped,AR-LRX [structural],1201.9667659740317,-5.700856665484256,-27.20873155726093,-27.200019075725905
V1_customers_dropped,S1 [struct_linear],1233.46157861048,-3.229961516655883,-25.301401482859344,-25.29246071050854
V1_customers_dropped,AR-LRX [struct_linear],1199.8318326705407,-5.8683507986788435,-27.338023404257893,-27.329326397832094
V1_customers_dropped,XGBoost,1651.25129934994,29.54732806819509,0.0,0.011969129981404801
V1_customers_dropped,"LR-XGB (residual, tanpa gerbang)",1651.0536825886081,29.53182423578502,-0.011967697552129007,0.0
V2_customers_lagged,SeasonalNaive(store x dow x promo median),1274.631691732541,0.0,14.682997347509112,10.521861192059639
V2_customers_lagged,S1 [linear],2519.1638451487024,97.63856975221864,126.65783570659184,118.43382572351906
V2_customers_lagged,AR-LRX [linear],1196.4418343801133,-6.134309844920634,7.647986950770791,3.742107780165608
V2_customers_lagged,S1 [structural],1240.6364163535145,-2.6670665416155184,11.624325496331883,7.574169611035471
V2_customers_lagged,AR-LRX [structural],1062.9012265874126,-16.611109430155004,-4.36712083966739,-7.837046114797405
V2_customers_lagged,S1 [struct_linear],1224.3856200377104,-3.9420070927731032,10.162185457865512,6.165081584803804
V2_customers_lagged,AR-LRX [struct_linear],1045.8661692923995,-17.947578420021262,-5.899823535865991,-9.314136516652312
V2_customers_lagged,XGBoost,1111.4391158352696,-12.803116143727145,0.0,-3.6283810605686537
V2_customers_lagged,"LR-XGB (residual, tanpa gerbang)",1153.2846786913465,-9.520162869656392,3.764989216222524,0.0
V3_sales_lagged,SeasonalNaive(store x dow x promo median),1274.631691732541,0.0,25.230184060343312,20.07865485638118
V3_sales_lagged,S1 [linear],2049.0594271095815,60.75698104794499,101.31626325619271,93.03482043009997
V3_sales_lagged,AR-LRX [linear],1140.7991063843774,-10.49970640273755,12.081382406399431,7.470748644104602
V3_sales_lagged,S1 [structural],1240.6364163535145,-2.6670665416155184,21.89021172126637,16.87607722908466
V3_sales_lagged,AR-LRX [structural],1016.137920066079,-20.27987954034822,-0.1663464152506645,-4.27315170216342
V3_sales_lagged,S1 [struct_linear],1214.5696588328806,-4.712108861660356,19.329201459762306,14.420417919931088
V3_sales_lagged,AR-LRX [struct_linear],998.1491945320547,-21.691167652098613,-1.933705115217428,-5.967807482901316
V3_sales_lagged,XGBoost,1017.8310455236159,-20.14704701558685,0.0,-4.113648193218198
V3_sales_lagged,"LR-XGB (residual, tanpa gerbang)",1061.4973104562596,-16.721252316155642,4.290129007627183,0.0
