varian,S1,pembanding,DM (log),p (log),DM (asli),p (asli),menang log,menang asli,sepakat
V1_customers_dropped,linear,XGBoost polos,-0.353,0.7244064941834689,25.469,0.0,False,False,False
V1_customers_dropped,linear,Naif per toko,66.329,0.0,57.64,0.0,False,False,True
V1_customers_dropped,linear,Kerangka lama,3.651,0.00026141094717058166,32.414,0.0,False,False,True
V1_customers_dropped,linear,S1 [linear] sendirian,-154.733,0.0,-103.253,0.0,True,True,True
V1_customers_dropped,structural,XGBoost polos,-82.47,0.0,-65.397,0.0,True,True,True
V1_customers_dropped,structural,Naif per toko,-38.408,0.0,-29.565,0.0,True,True,True
V1_customers_dropped,structural,Kerangka lama,-81.906,0.0,-64.78,0.0,True,True,True
V1_customers_dropped,structural,S1 [structural] sendirian,-25.376,0.0,-17.766,0.0,True,True,True
V1_customers_dropped,struct_linear,XGBoost polos,-82.721,0.0,-65.569,0.0,True,True,True
V1_customers_dropped,struct_linear,Naif per toko,-42.31,0.0,-34.564,0.0,True,True,True
V1_customers_dropped,struct_linear,Kerangka lama,-82.129,0.0,-64.923,0.0,True,True,True
V1_customers_dropped,struct_linear,S1 [struct_linear] sendirian,-26.162,0.0,-14.161,0.0,True,True,True
V2_customers_lagged,linear,XGBoost polos,27.199,0.0,22.079,0.0,False,False,True
V2_customers_lagged,linear,Naif per toko,-38.259,0.0,-14.866,0.0,True,True,True
V2_customers_lagged,linear,Kerangka lama,39.095,0.0,31.189,0.0,False,False,True
V2_customers_lagged,linear,S1 [linear] sendirian,-155.899,0.0,-39.046,0.0,True,True,True
V2_customers_lagged,structural,XGBoost polos,-20.138,0.0,-17.661,0.0,True,True,True
V2_customers_lagged,structural,Naif per toko,-79.492,0.0,-57.89,0.0,True,True,True
V2_customers_lagged,structural,Kerangka lama,-24.715,0.0,-22.902,0.0,True,True,True
V2_customers_lagged,structural,S1 [structural] sendirian,-73.041,0.0,-52.599,0.0,True,True,True
V2_customers_lagged,struct_linear,XGBoost polos,-27.186,0.0,-24.49,0.0,True,True,True
V2_customers_lagged,struct_linear,Naif per toko,-82.051,0.0,-60.0,0.0,True,True,True
V2_customers_lagged,struct_linear,Kerangka lama,-31.835,0.0,-27.445,0.0,True,True,True
V2_customers_lagged,struct_linear,S1 [struct_linear] sendirian,-77.549,0.0,-49.627,0.0,True,True,True
V3_sales_lagged,linear,XGBoost polos,37.516,0.0,15.616,0.0,False,False,True
V3_sales_lagged,linear,Naif per toko,-47.358,0.0,-16.043,0.0,True,True,True
V3_sales_lagged,linear,Kerangka lama,46.956,0.0,25.288,0.0,False,False,True
V3_sales_lagged,linear,S1 [linear] sendirian,-147.328,0.0,-39.157,0.0,True,True,True
V3_sales_lagged,structural,XGBoost polos,-1.995,0.046054891269968756,-0.54,0.5888551715121759,True,False,True
V3_sales_lagged,structural,Naif per toko,-91.298,0.0,-65.788,0.0,True,True,True
V3_sales_lagged,structural,Kerangka lama,-4.611,4.016714460153281e-06,-7.231,4.816147480823929e-13,True,True,True
V3_sales_lagged,structural,S1 [structural] sendirian,-86.017,0.0,-61.79,0.0,True,True,True
V3_sales_lagged,struct_linear,XGBoost polos,-6.981,2.9540814239226165e-12,-6.847,7.59392548843607e-12,True,True,True
V3_sales_lagged,struct_linear,Naif per toko,-90.181,0.0,-62.388,0.0,True,True,True
V3_sales_lagged,struct_linear,Kerangka lama,-9.409,0.0,-10.273,0.0,True,True,True
V3_sales_lagged,struct_linear,S1 [struct_linear] sendirian,-87.242,0.0,-56.302,0.0,True,True,True
