varian,S1,w,RMSE asli,RMSE log
V1_customers_dropped,linear,0.0,2846.796698166396,0.36292907229219856
V1_customers_dropped,linear,0.05,2769.967058870638,0.35050453351475397
V1_customers_dropped,linear,0.1,2693.7273987515496,0.3383262873404438
V1_customers_dropped,linear,0.15,2618.085821964999,0.3264219003506967
V1_customers_dropped,linear,0.2,2543.07512062243,0.31482244307367396
V1_customers_dropped,linear,0.25,2468.756732727299,0.3035628707107918
V1_customers_dropped,linear,0.3,2395.2256200584357,0.29268240889257935
V1_customers_dropped,linear,0.35,2322.6162369839426,0.2822249178771979
V1_customers_dropped,linear,0.4,2251.1093012398087,0.27223913178920356
V1_customers_dropped,linear,0.45,2180.94039470738,0.26277884378757804
V1_customers_dropped,linear,0.5,2112.4092550037462,0.2539027881672111
V1_customers_dropped,linear,0.55,2045.8910344074366,0.2456743032782369
V1_customers_dropped,linear,0.6,1981.8482267669228,0.23816051974902208
V1_customers_dropped,linear,0.65,1920.843493708649,0.23143106737800623
V1_customers_dropped,linear,0.7,1863.5517723260427,0.225556141545357
V1_customers_dropped,linear,0.75,1810.771154967631,0.22060403356570454
V1_customers_dropped,linear,0.8,1763.4286504475576,0.21663803568544965
V1_customers_dropped,linear,0.85,1722.5787000005773,0.2137130549316766
V1_customers_dropped,linear,0.9,1689.3900248213802,0.21187221205764392
V1_customers_dropped,linear,0.95,1665.1169885319214,0.21114386045107636
V1_customers_dropped,linear,1.0,1651.0536825886081,0.21153949462385163
V1_customers_dropped,structural,0.0,1240.6364163535145,0.1607401521589509
V1_customers_dropped,structural,0.05,1235.485582132874,0.15989318751207332
V1_customers_dropped,structural,0.1,1230.6738739713658,0.15910421420622226
V1_customers_dropped,structural,0.15,1226.2053524939283,0.15837409888121917
V1_customers_dropped,structural,0.2,1222.0846126748538,0.15770365916856977
V1_customers_dropped,structural,0.25,1218.316729107798,0.1570936590128543
V1_customers_dropped,structural,0.3,1214.9072098412817,0.15654480478040522
V1_customers_dropped,structural,0.35,1211.861957513889,0.15605774209658174
V1_customers_dropped,structural,0.4,1209.1872188422751,0.1556330505186831
V1_customers_dropped,structural,0.45,1206.8895612669767,0.15527124234367032
V1_customers_dropped,structural,0.5,1204.9758261662523,0.15497275757112433
V1_customers_dropped,structural,0.55,1203.4531069614031,0.1547379628747003
V1_customers_dropped,structural,0.6,1202.328714424736,0.1545671485120744
V1_customers_dropped,structural,0.65,1201.610150448328,0.15446052683304742
V1_customers_dropped,structural,0.7,1201.305079390504,0.15441823054714904
V1_customers_dropped,structural,0.75,1201.4213095492862,0.1544403126704405
V1_customers_dropped,structural,0.8,1201.9667659740317,0.15452674561221594
V1_customers_dropped,structural,0.85,1202.9494710118433,0.15467742147942581
V1_customers_dropped,structural,0.9,1204.3775229848939,0.15489215251792027
V1_customers_dropped,structural,0.95,1206.259085076127,0.15517067328608627
V1_customers_dropped,structural,1.0,1208.6023595057475,0.15551264085939576
V1_customers_dropped,struct_linear,0.0,1233.46157861048,0.1597238099069776
V1_customers_dropped,struct_linear,0.05,1228.7120072382488,0.15893910569910974
V1_customers_dropped,struct_linear,0.1,1224.3012275244757,0.1582122524916161
V1_customers_dropped,struct_linear,0.15,1220.2339132168804,0.15754405095546403
V1_customers_dropped,struct_linear,0.2,1216.515109257138,0.1569352504090909
V1_customers_dropped,struct_linear,0.25,1213.1502075470776,0.1563865444960087
V1_customers_dropped,struct_linear,0.3,1210.14492858884,0.15589856759767728
V1_customers_dropped,struct_linear,0.35,1207.5053076180577,0.15547189195270664
V1_customers_dropped,struct_linear,0.4,1205.2376697221073,0.15510702296033615
V1_customers_dropped,struct_linear,0.45,1203.3486268593124,0.15480439807620475
V1_customers_dropped,struct_linear,0.5,1201.8450544636619,0.15456438254361757
V1_customers_dropped,struct_linear,0.55,1200.7340886448776,0.15438726856439652
V1_customers_dropped,struct_linear,0.6,1200.023111347184,0.15427327278561095
V1_customers_dropped,struct_linear,0.65,1199.7197426231103,0.15422253519840728
V1_customers_dropped,struct_linear,0.7,1199.8318326705407,0.15423511809756812
V1_customers_dropped,struct_linear,0.75,1200.3674573365197,0.15431100610515866
V1_customers_dropped,struct_linear,0.8,1201.3349116904799,0.15445010590996022
V1_customers_dropped,struct_linear,0.85,1202.7427057251282,0.1546522469194065
V1_customers_dropped,struct_linear,0.9,1204.599561359038,0.15491718204803995
V1_customers_dropped,struct_linear,0.95,1206.9144182420675,0.15524459039937313
V1_customers_dropped,struct_linear,1.0,1209.6964230131373,0.15563407745388722
V2_customers_lagged,linear,0.0,2519.1638451487024,0.27569914171267135
V2_customers_lagged,linear,0.05,2411.246982606033,0.2659980267531755
V2_customers_lagged,linear,0.1,2307.427106877948,0.2564393246632032
V2_customers_lagged,linear,0.15,2207.5679531443066,0.24703956649367748
V2_customers_lagged,linear,0.2,2111.5598307328155,0.23781760181484596
V2_customers_lagged,linear,0.25,2019.3215053772346,0.22879492909495694
V2_customers_lagged,linear,0.3,1930.802590151785,0.21999606748597023
V2_customers_lagged,linear,0.35,1845.9864703554347,0.21144896671723143
V2_customers_lagged,linear,0.4,1764.8932893166996,0.20318539010307968
V2_customers_lagged,linear,0.45,1687.5839413556744,0.19524135174793694
V2_customers_lagged,linear,0.5,1614.1636416643817,0.18765742654916698
V2_customers_lagged,linear,0.55,1544.7862238815042,0.18047902269828106
V2_customers_lagged,linear,0.6,1479.6576640047826,0.1737564075710235
V2_customers_lagged,linear,0.65,1419.0390098263158,0.16754446186854502
V2_customers_lagged,linear,0.7,1363.2472503153272,0.16190196134296714
V2_customers_lagged,linear,0.75,1312.6541233649052,0.1568903668709501
V2_customers_lagged,linear,0.8,1267.6800905586992,0.15257186132323977
V2_customers_lagged,linear,0.85,1228.7832814326464,0.14900671866012574
V2_customers_lagged,linear,0.9,1196.4418343801133,0.1462500459619966
V2_customers_lagged,linear,0.95,1171.1292889073607,0.14434816307161225
V2_customers_lagged,linear,1.0,1153.2846786913465,0.14333510393869275
V2_customers_lagged,structural,0.0,1240.6364163535145,0.1607401521589509
V2_customers_lagged,structural,0.05,1221.8546615764867,0.15792172629422715
V2_customers_lagged,structural,0.1,1203.7926289435102,0.15523357858426368
V2_customers_lagged,structural,0.15,1186.4965414078251,0.15268259008779628
V2_customers_lagged,structural,0.2,1170.015950626158,0.15027574648864106
V2_customers_lagged,structural,0.25,1154.403601897838,0.1480200790958077
V2_customers_lagged,structural,0.3,1139.715259752509,0.1459225980489796
V2_customers_lagged,structural,0.35,1126.0094865715898,0.14399021816637397
V2_customers_lagged,structural,0.4,1113.3472834727029,0.1422296666801404
V2_customers_lagged,structural,0.45,1101.7917590522452,0.1406473984192703
V2_customers_lagged,structural,0.5,1091.4075959556221,0.1392494889888688
V2_customers_lagged,structural,0.55,1082.2605431417737,0.13804154038697186
V2_customers_lagged,structural,0.6,1074.4167482144533,0.13702857639590438
V2_customers_lagged,structural,0.65,1067.9420604691725,0.13621494797205747
V2_customers_lagged,structural,0.7,1062.9012265874126,0.1356042412066032
V2_customers_lagged,structural,0.75,1059.3571265467276,0.1351992071736719
V2_customers_lagged,structural,0.8,1057.3699054020828,0.13500169698994366
V2_customers_lagged,structural,0.85,1056.9961638262128,0.13501262145524556
V2_customers_lagged,structural,0.9,1058.2881749224873,0.13523192962526537
V2_customers_lagged,structural,0.95,1061.2931893078924,0.1356586114751467
V2_customers_lagged,structural,1.0,1066.052825247945,0.13629071914837532
V2_customers_lagged,struct_linear,0.0,1224.3856200377104,0.1599432997802248
V2_customers_lagged,struct_linear,0.05,1207.038428814257,0.1573668696851061
V2_customers_lagged,struct_linear,0.1,1190.3347015211805,0.15489166368770035
V2_customers_lagged,struct_linear,0.15,1174.308115059575,0.1525226098429855
V2_customers_lagged,struct_linear,0.2,1158.9943335002724,0.1502647294527538
V2_customers_lagged,struct_linear,0.25,1144.4309134542061,0.14812310624250297
