varian,segmen,n,AR-LRX,XGBoost,selisih (%)
V1_customers_dropped,semua,129333,1204.7507476041035,1651.25129934994,-27.040133256616578
V1_customers_dropped,promo,58399,1365.172498963045,1848.4827565502844,-26.146322213425087
V1_customers_dropped,tanpa promo,70934,1054.5173103094182,1469.132769847745,-28.2217828128152
V1_customers_dropped,hari 1,20121,1216.093278836041,1784.4237046373164,-31.84952230371701
V1_customers_dropped,hari 2,22284,1255.1965172636246,1682.1409634165364,-25.38101475668009
V1_customers_dropped,hari 3,22281,1192.5638350177112,1598.009085322117,-25.371898947788434
V1_customers_dropped,hari 4,20516,1282.2059131323706,1643.03317144984,-21.961045253825848
V1_customers_dropped,hari 5,21205,1096.021060184544,1511.4690341884334,-27.48637018732968
V1_customers_dropped,hari 6,22286,1168.1675615236172,1684.6540147099797,-30.65831017387139
V1_customers_dropped,hari 7,640,1555.9526697524843,1554.0673446410387,0.121315534873494
V1_customers_dropped,toko Q1 kecil,32421,781.6797471421992,1150.431513964124,-32.05334366678556
V1_customers_dropped,toko Q2,32275,1008.3044686201998,1205.1087010088452,-16.33082826668603
V1_customers_dropped,toko Q3,32408,1177.1004679704945,1413.9747885613413,-16.752372284647045
V1_customers_dropped,toko Q4 besar,32229,1672.848971529433,2479.0394080459764,-32.520275147703174
V2_customers_lagged,semua,129333,1054.9722252305323,1111.4391158352696,-5.0805203632140685
V2_customers_lagged,promo,58399,1245.88208479279,1285.3639018448466,-3.071645080073392
V2_customers_lagged,tanpa promo,70934,866.794714055757,944.509863817886,-8.22809297596848
V2_customers_lagged,hari 1,20121,1153.8976704664929,1313.9070419874583,-12.178134860966278
V2_customers_lagged,hari 2,22284,1126.8931631675543,1110.7292316414894,1.4552539958075228
V2_customers_lagged,hari 3,22281,1102.0956227218776,1114.326176131246,-1.097573912499379
V2_customers_lagged,hari 4,20516,1118.7055571430367,1070.9672353802919,4.457496007876779
V2_customers_lagged,hari 5,21205,911.9116049077778,982.5837541324453,-7.1924809388962645
V2_customers_lagged,hari 6,22286,889.5004397200025,1056.8069198025576,-15.831319510456343
V2_customers_lagged,hari 7,640,1151.8311493988044,1234.7344629198208,-6.714262540706276
V2_customers_lagged,toko Q1 kecil,32421,708.4013943079767,710.1620072456959,-0.24791708367328638
V2_customers_lagged,toko Q2,32275,902.1364715453805,895.0182021268382,0.79532119029837
V2_customers_lagged,toko Q3,32408,1049.3186204602905,1095.5124468250888,-4.216640942663214
V2_customers_lagged,toko Q4 besar,32229,1428.0220644169358,1562.3130591112279,-8.595652062889867
V3_sales_lagged,semua,129333,1004.694829345863,1017.8310455236159,-1.290608715024511
V3_sales_lagged,promo,58399,1172.7066708187508,1151.8549252131681,1.810275334953639
V3_sales_lagged,tanpa promo,70934,841.5636950108886,892.5115101580501,-5.708365053817556
V3_sales_lagged,hari 1,20121,1138.023328014522,1273.4622494360801,-10.635487740726814
V3_sales_lagged,hari 2,22284,1047.6856931637442,931.2008530316499,12.509099379888045
V3_sales_lagged,hari 3,22281,1017.8169422371183,974.1224919584089,4.485519084038865
V3_sales_lagged,hari 4,20516,1047.7092483822908,921.3411633469979,13.715666906298837
V3_sales_lagged,hari 5,21205,885.8637886664065,905.6636016763917,-2.186221569834049
V3_sales_lagged,hari 6,22286,870.7780644792264,1060.1750098392806,-17.864686830221196
V3_sales_lagged,hari 7,640,1179.347325440836,1270.4104610893544,-7.168008957548529
V3_sales_lagged,toko Q1 kecil,32421,694.0620504308364,657.0762169099963,5.628849830354799
V3_sales_lagged,toko Q2,32275,875.4762578516555,837.0034873375423,4.596488676109677
V3_sales_lagged,toko Q3,32408,986.2552723904537,991.0314978502016,-0.48194486957364896
V3_sales_lagged,toko Q4 besar,32229,1349.244542081342,1426.124146036536,-5.39080725677753
