granularity,category,feature_set,reference,DM,p,identical_predictions,win,sig_win,sig_loss
daily,M01AB,A_lag1,Naive,-6.549788088578164,2.3349611133482995e-10,False,True,True,False
daily,M01AB,A_lag1,S1 [linear],2.1761928736089176,0.030281212722550466,False,False,False,True
daily,M01AB,A_lag1,XGBoost,-3.6970174295692906,0.0002571135259357149,False,True,True,False
daily,M01AB,A_lag1,"LR-XGB (residual, tanpa gerbang)",-3.9818176517468142,8.491494758677831e-05,False,True,True,False
daily,M01AB,B_rich,Naive,-6.549788088578164,2.3349611133482995e-10,False,True,True,False
daily,M01AB,B_rich,S1 [linear],2.1761928736089176,0.030281212722550466,False,False,False,True
daily,M01AB,B_rich,XGBoost,-3.6970174295692906,0.0002571135259357149,False,True,True,False
daily,M01AB,B_rich,"LR-XGB (residual, tanpa gerbang)",-3.9818176517468142,8.491494758677831e-05,False,True,True,False
daily,M01AE,A_lag1,Naive,-3.698288686728234,0.00025627586133114555,False,True,True,False
daily,M01AE,A_lag1,S1 [linear],,,True,False,False,False
daily,M01AE,A_lag1,XGBoost,0.8396371509122511,0.40175271577941984,False,False,False,False
daily,M01AE,A_lag1,"LR-XGB (residual, tanpa gerbang)",1.0174971211189532,0.30970284029339235,False,False,False,False
daily,M01AE,B_rich,Naive,-4.7252944488217254,3.476614984787574e-06,False,True,True,False
daily,M01AE,B_rich,S1 [linear],-1.8154337556282834,0.07041412420936832,False,True,False,False
daily,M01AE,B_rich,XGBoost,-1.6950286758595943,0.0910645191464785,False,True,False,False
daily,M01AE,B_rich,"LR-XGB (residual, tanpa gerbang)",0.8220171806436801,0.4116928505644313,False,False,False,False
daily,N02BA,A_lag1,Naive,-5.537685923160503,6.454766077190754e-08,False,True,True,False
daily,N02BA,A_lag1,S1 [linear],-0.7879789047608922,0.43129972423202756,False,True,False,False
daily,N02BA,A_lag1,XGBoost,-1.1131755002503496,0.26647911503420896,False,True,False,False
daily,N02BA,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.4357097017855779,0.6633448433148468,False,True,False,False
daily,N02BA,B_rich,Naive,-5.537685923160503,6.454766077190754e-08,False,True,True,False
daily,N02BA,B_rich,S1 [linear],-0.7879789047608922,0.43129972423202756,False,True,False,False
daily,N02BA,B_rich,XGBoost,-1.1131755002503496,0.26647911503420896,False,True,False,False
