model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
Naive,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,15.112755555555555,3.887512772397739,2.996063492063492,-1.0889083838028975,0.7876292158258805,64.5043814997324,1.5568921901843953,17.410850473186123,4.172631121149594,3.291482649842272,-1.0779070449005217,0.784236153182909,66.44657397551136,2.203789023711625,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,13.791767301587301,3.7137268749313406,2.996412698412698,-0.9063193497597275,0.7524193379021529,64.36533562242663,1.7661914785085975,16.361037223974765,4.0448778997609764,3.161135646687697,-0.9526165342660349,0.7602252372908443,64.38007169290704,2.59657683376552,0.0,daily,5,,,,,,,,,,,,,
S1 [linear],M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,7.3605331683239426,2.713030255696376,2.175527732894381,-0.017384247899057126,0.5496732790122904,47.36724549852949,1.3729886170064014,8.566003196532822,2.926773513022971,2.263650267843024,-0.022314126247201305,0.5500801615212979,46.915710730110106,1.864103666903613,0.647,daily,5,linear,0.0,2.713030255696376,0.0,,2.926773513022971,,,,,,,
AR-LRX [linear],M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.274155171076073,2.6970641762991243,2.171813817360201,-0.00544494788431904,0.5464384727668269,47.35966078481042,1.346836903784741,8.825676245824503,2.9708039729717113,2.333624999009748,-0.05330494196438673,0.5583555823602148,48.20233881784834,1.8575616612759507,6.119,daily,5,linear,0.6,2.713030255696376,0.5885,0.00604527547646494,2.926773513022971,,,,,,,
AR-LRX-g [linear],M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.279293557048348,2.698016596881559,2.1710833951997452,-0.006155183519193308,0.5466314378631233,47.316461310265716,1.3519424461506602,8.75531297408288,2.9589378117971457,2.3182052437222183,-0.04490740054162057,0.5561253654245691,47.91037210018392,1.8401787201545146,6.34,daily,5,linear,0.39999999999999997,2.713030255696376,0.5534,-0.007725434119783214,2.926773513022971,False,global,1.0,"{""0"": 0.4}",0.4,0.4,2.708830430796658
AR-LRX-Aug [linear],M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.279293557048348,2.698016596881559,2.1710833951997452,-0.006155183519193308,0.5466314378631233,47.316461310265716,1.3519424461506602,8.75531297408288,2.9589378117971457,2.3182052437222183,-0.04490740054162057,0.5561253654245691,47.91037210018392,1.8401787201545146,7.089,daily,5,linear,0.39999999999999997,2.713030255696376,0.5534,-0.007725434119783214,2.926773513022971,True,global,1.0,"{""0"": 0.4}",0.4,0.4,2.708830430796658
XGBoost,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.306749701534913,2.70310001693147,2.173739280337379,-0.009950214160300064,0.5476613637777218,47.43292570255277,1.3357027062905813,9.196900043833027,3.0326391219254933,2.3991443322058355,-0.09760884005969239,0.5699773523990783,49.38125516295228,1.8524969406197325,6.807,daily,5,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.31303930458088,2.704263172211773,2.1750875081548307,-0.010819572794813492,0.5478970247607065,47.462365012374555,1.3332713405443455,9.204222106136516,3.0338460913725527,2.402974313997934,-0.09848269541024224,0.5702041994528171,49.47715900050416,1.8586779175253632,6.814,daily,5,,,,,,,,,,,,,
Naive,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,15.112755555555555,3.887512772397739,2.996063492063492,-1.0889083838028975,0.7876292158258805,64.5043814997324,1.5568921901843953,17.410850473186123,4.172631121149594,3.291482649842272,-1.0779070449005217,0.784236153182909,66.44657397551136,2.203789023711625,0.0,daily,5,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,13.791767301587301,3.7137268749313406,2.996412698412698,-0.9063193497597275,0.7524193379021529,64.36533562242663,1.7661914785085975,16.361037223974765,4.0448778997609764,3.161135646687697,-0.9526165342660349,0.7602252372908443,64.38007169290704,2.59657683376552,0.0,daily,5,,,,,,,,,,,,,
