granularitas,kategori,set_fitur,pembanding,DM,p,menang,menang sig
daily,M01AB,A_lag1,Naive,-6.474190088151782,3.6392799884765736e-10,True,True
daily,M01AB,A_lag1,S1 [linear],2.3174980335464332,0.021115211799960454,False,False
daily,M01AB,A_lag1,XGBoost,-3.8896445387538554,0.00012241967265169684,True,True
daily,M01AB,A_lag1,"LR-XGB (residual, tanpa gerbang)",-4.108755042135016,5.07341907818315e-05,True,True
daily,M01AB,B_rich,Naive,-6.474190088151782,3.6392799884765736e-10,True,True
daily,M01AB,B_rich,S1 [linear],2.3174980335464332,0.021115211799960454,False,False
daily,M01AB,B_rich,XGBoost,-3.8896445387538554,0.00012241967265169684,True,True
daily,M01AB,B_rich,"LR-XGB (residual, tanpa gerbang)",-4.108755042135016,5.07341907818315e-05,True,True
daily,M01AE,A_lag1,Naive,-3.698288686728234,0.00025627586133114555,True,True
daily,M01AE,A_lag1,S1 [linear],,,False,False
daily,M01AE,A_lag1,XGBoost,0.8396371509122511,0.40175271577941984,False,False
daily,M01AE,A_lag1,"LR-XGB (residual, tanpa gerbang)",1.012812644173017,0.31193193909151207,False,False
daily,M01AE,B_rich,Naive,-4.6943359915425145,4.006297726011354e-06,True,True
daily,M01AE,B_rich,S1 [linear],,,False,False
daily,M01AE,B_rich,XGBoost,-1.4266831782306537,0.15466795788025833,True,False
daily,M01AE,B_rich,"LR-XGB (residual, tanpa gerbang)",0.7408424012142786,0.4593444135805429,False,False
daily,N02BA,A_lag1,Naive,-5.519925984670128,7.078747676914077e-08,True,True
daily,N02BA,A_lag1,S1 [linear],-0.6137128199347486,0.5398466392449888,True,False
daily,N02BA,A_lag1,XGBoost,-0.7710116354642209,0.4412761390233009,True,False
daily,N02BA,A_lag1,"LR-XGB (residual, tanpa gerbang)",-0.8022526367257353,0.4230097467048144,True,False
daily,N02BA,B_rich,Naive,-5.519925984670128,7.078747676914077e-08,True,True
daily,N02BA,B_rich,S1 [linear],-0.6137128199347486,0.5398466392449888,True,False
daily,N02BA,B_rich,XGBoost,-0.7710116354642209,0.4412761390233009,True,False
daily,N02BA,B_rich,"LR-XGB (residual, tanpa gerbang)",-0.8022526367257353,0.4230097467048144,True,False
daily,N02BE,A_lag1,Naive,-3.2690740622508496,0.0011979274223663516,True,True
daily,N02BE,A_lag1,S1 [linear],,,False,False
daily,N02BE,A_lag1,XGBoost,0.3859128578302328,0.699820889414005,False,False
daily,N02BE,A_lag1,"LR-XGB (residual, tanpa gerbang)",0.57544704780306,0.5653985239086885,False,False
daily,N02BE,B_rich,Naive,-3.2690740622508496,0.0011979274223663516,True,True
daily,N02BE,B_rich,S1 [linear],,,False,False
daily,N02BE,B_rich,XGBoost,0.3859128578302328,0.699820889414005,False,False
daily,N02BE,B_rich,"LR-XGB (residual, tanpa gerbang)",0.57544704780306,0.5653985239086885,False,False
daily,N05B,A_lag1,Naive,-7.244420647227712,3.341549259516796e-12,True,True
daily,N05B,A_lag1,S1 [linear],-0.4055788364609307,0.6853265478084731,True,False
daily,N05B,A_lag1,XGBoost,-0.9650586384176905,0.3352534007983765,True,False
daily,N05B,A_lag1,"LR-XGB (residual, tanpa gerbang)",-1.0964059664595587,0.2737360002787812,True,False
daily,N05B,B_rich,Naive,-7.244420647227712,3.341549259516796e-12,True,True
daily,N05B,B_rich,S1 [linear],-0.4055788364609307,0.6853265478084731,True,False
daily,N05B,B_rich,XGBoost,-0.9650586384176905,0.3352534007983765,True,False
daily,N05B,B_rich,"LR-XGB (residual, tanpa gerbang)",-1.0964059664595587,0.2737360002787812,True,False
daily,N05C,A_lag1,Naive,-6.6360575030152384,1.4068057829774716e-10,True,True
daily,N05C,A_lag1,S1 [linear],,,False,False
daily,N05C,A_lag1,XGBoost,0.2814871705077936,0.7785215893739279,False,False
daily,N05C,A_lag1,"LR-XGB (residual, tanpa gerbang)",0.21307103990392276,0.8314093812722527,False,False
daily,N05C,B_rich,Naive,-6.446301666081063,4.2991521453927817e-10,True,True
daily,N05C,B_rich,S1 [linear],1.7377806289474242,0.08322677037954285,False,False
daily,N05C,B_rich,XGBoost,0.1691743026026373,0.8657681264166492,False,False
daily,N05C,B_rich,"LR-XGB (residual, tanpa gerbang)",-3.723935609529923,0.00023233299202241042,True,True
daily,R03,A_lag1,Naive,-4.852233223809916,1.920827508383738e-06,True,True
