granularity,category,feature_set,model,gate_w,resid_val_r2,gate_val_gain_pct,stage1_val_RMSE,test_RMSE,stage1_only_test_RMSE
daily,M01AB,A_lag1,AR-LRX [linear],0.6,0.00604527547646494,0.5885,2.713030255696376,2.9708039729717113,2.926773513022971
daily,M01AB,A_lag1,AR-LRX-g [linear],0.4,-0.007725434119783214,0.5534,2.713030255696376,2.9589378117971457,2.926773513022971
daily,M01AB,A_lag1,AR-LRX-Aug [linear],0.4,-0.007725434119783214,0.5534,2.713030255696376,2.9589378117971457,2.926773513022971
daily,M01AB,B_rich,AR-LRX [linear],0.6,0.00604527547646494,0.5885,2.713030255696376,2.9708039729717113,2.926773513022971
daily,M01AB,B_rich,AR-LRX-g [linear],0.4,-0.007725434119783214,0.5534,2.713030255696376,2.9589378117971457,2.926773513022971
daily,M01AB,B_rich,AR-LRX-Aug [linear],0.4,-0.007725434119783214,0.5534,2.713030255696376,2.9589378117971457,2.926773513022971
daily,M01AE,A_lag1,AR-LRX [linear],0.0,-0.0282830012096158,0.0,2.007488254980668,2.3219794501436657,2.3219794501436657
daily,M01AE,A_lag1,AR-LRX-g [linear],0.0,-0.0282830012096158,0.0,2.007488254980668,2.3219794501436657,2.3219794501436657
daily,M01AE,A_lag1,AR-LRX-Aug [linear],0.0,-0.0282830012096158,0.0,2.007488254980668,2.3219794501436657,2.3219794501436657
daily,M01AE,B_rich,AR-LRX [linear],0.0,-0.015482519887477286,0.0,2.000483813586384,2.2024886657509155,2.2024886657509155
daily,M01AE,B_rich,AR-LRX-g [linear],0.0,-0.06144635242463714,0.0,2.000483813586384,2.2024886657509155,2.2024886657509155
daily,M01AE,B_rich,AR-LRX-Aug [linear],0.3,-0.007022205774310342,0.0762,2.000483813586384,2.188608060642021,2.2024886657509155
daily,N02BA,A_lag1,AR-LRX [linear],0.1,-0.36199191420233134,0.1114,2.2919736867101403,2.153170742714205,2.155381881254455
daily,N02BA,A_lag1,AR-LRX-g [linear],0.0,-0.2319837858991396,0.0,2.2919736867101403,2.155381881254455,2.155381881254455
daily,N02BA,A_lag1,AR-LRX-Aug [linear],0.0,-0.2319837858991396,0.0,2.2919736867101403,2.155381881254455,2.155381881254455
daily,N02BA,B_rich,AR-LRX [linear],0.1,-0.36199191420233134,0.1114,2.2919736867101403,2.153170742714205,2.155381881254455
daily,N02BA,B_rich,AR-LRX-g [linear],0.0,-0.2319837858991396,0.0,2.2919736867101403,2.155381881254455,2.155381881254455
daily,N02BA,B_rich,AR-LRX-Aug [linear],0.0,-0.2319837858991396,0.0,2.2919736867101403,2.155381881254455,2.155381881254455
daily,N02BE,A_lag1,AR-LRX [linear],0.0,-0.03458969841534931,0.0,12.392370028709518,14.339539223691217,14.339539223691217
daily,N02BE,A_lag1,AR-LRX-g [linear],0.0,-0.08919423883096389,0.0,12.392370028709518,14.339539223691217,14.339539223691217
