,model,asal,RMSE,MAE,RMSPE,R2
1,AR-LRX-Aug [structural],exp05d,945.4212919564136,645.6386027207665,0.1199713620104164,0.9084200063292718
2,AR-LRX-Aug [struct_linear],exp05d,956.2671670678836,652.9697460191202,0.1212605318274489,0.906306742004306
3,AR-LRX [struct_linear],exp05b,1004.694829345863,690.8928241836433,0.1272572968337094,0.8965767488749334
4,XGBoost (grid Zhao),exp06 (baseline rujukan),1014.2690309403869,692.1449626770868,0.1323106330275135,0.8945962209772149
5,LightGBM (Zeng),exp06 (baseline rujukan),1015.7271073412617,697.137354757285,0.13240664331500468,0.8942929538452712
6,XGBoost,exp05b,1017.831045523616,695.0580588511715,0.1326304346716074,0.8938545852608645
7,"LR-XGB (residual, tanpa gerbang) — kerangka lama",exp05b,1058.824313099529,704.8383709499276,0.1341271702040215,0.8851323696959067
8,S1 [structural],exp05b,1240.6364163535145,830.9996999165927,0.1547813490109479,0.8422973827063185
9,SeasonalNaive(store x dow x promo median),exp05b,1274.631691732541,850.470064322646,0.1570465812020928,0.8335364024980008
10,GRU (Qureshi),exp06 (baseline rujukan),1398.1191960969109,968.798504025802,0.25368372377178533,0.799719692924329
11,RNN (Diamantini),exp06 (baseline rujukan),1424.5733136588303,987.1999978292405,0.24652852689644983,0.792068895527085
12,LSTM (Diamantini / Qureshi),exp06 (baseline rujukan),1757.6088808824659,1189.894060537554,0.2800611146053991,0.683484977017278
13,MLP (Diamantini),exp06 (baseline rujukan),1764.3187995989388,985.0615197875746,0.21313716737274382,0.6810636829133079
14,CNN (Diamantini),exp06 (baseline rujukan),1970.2585559982672,1317.7096211200217,0.2836175239996433,0.6022627234007575
15,Transformer (Diamantini),exp06 (baseline rujukan),2738.563876668001,1994.7189357904683,0.5049945093462346,0.23158541064777405
