,model,asal,RMSE,MAE,RMSPE,R2
1,AR-LRX-Aug [structural],usulan (exp05d),945.4212919564136,645.6386027207665,0.1199713620104164,0.9084200063292718
2,AR-LRX-Aug [struct_linear],usulan (exp05d),956.2671670678836,652.9697460191202,0.1212605318274489,0.906306742004306
3,AR-LRX [struct_linear],pembanding internal,1004.694829345863,690.8928241836433,0.1272572968337094,0.8965767488749334
4,XGBoost (grid Zhao),baseline rujukan (exp06b),1014.2690309403869,692.1449626770868,0.1323106330275135,0.8945962209772149
5,LightGBM (Zeng),baseline rujukan (exp06b),1015.7271073412617,697.137354757285,0.13240664331500468,0.8942929538452712
6,XGBoost,pembanding internal,1017.831045523616,695.0580588511715,0.1326304346716074,0.8938545852608645
7,"LR-XGB (residual, tanpa gerbang)",pembanding internal,1058.824313099529,704.8383709499276,0.1341271702040215,0.8851323696959067
8,S1 [structural],pembanding internal,1240.6364163535145,830.9996999165927,0.1547813490109479,0.8422973827063185
9,RNN (Diamantini),baseline rujukan (exp06b),1242.7339608491895,845.2773181654773,0.17925541864974945,0.8417636761595585
10,LSTM (Diamantini / Qureshi),baseline rujukan (exp06b),1253.7581999759093,855.4680584573565,0.1794635631991215,0.8389438087837136
11,MLP (Diamantini),baseline rujukan (exp06b),1257.2473792192382,855.1921705199651,0.18730105786596113,0.8380461303133249
12,SeasonalNaive(store x dow x promo median),pembanding internal,1274.631691732541,850.470064322646,0.1570465812020928,0.8335364024980008
13,GRU (Qureshi),baseline rujukan (exp06b),1275.2939187792822,867.0548845871165,0.18442588761765613,0.8333633872910554
14,CNN (Diamantini),baseline rujukan (exp06b),1288.277542391588,880.5098630784283,0.19162346437923966,0.8299530981933507
15,Transformer (Diamantini),baseline rujukan (exp06b),2319.5413953128564,1630.5852834381176,0.4367815197563231,0.4487430138314289
