model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,group,config,resid_test_r2,cross_fit_folds_protocol,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
Naive,M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,16.10771388888889,4.013441651362194,3.0631666666666666,-1.0135175174201398,0.7615879663548235,60.64799416086532,1.6456212980051426,19.57956777777778,4.424880538249341,3.615,-1.355459040895902,0.7732350512444723,64.06895698406898,2.5853648715476534,0.0,daily,5,origin0,daily|M01AB|A_lag1,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,14.948653333333333,3.86634883751238,2.948111111111111,-0.8686311140198606,0.7336757337383941,58.6640132972522,1.9328171512145973,17.73320888888889,4.211081676824719,3.3453333333333326,-1.1333385739411683,0.7358743197759832,61.33166514191303,3.7311810979652233,0.0,daily,5,origin0,daily|M01AB|A_lag1,,5,,,,,,,,,,,,,,
S1 [linear],M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,8.126955337359913,2.850781530977061,2.1312513955312906,-0.0158962996203342,0.5409623702793372,43.27284281888849,1.7388753316472731,8.976306902298385,2.996048548054317,2.413626326927887,-0.0798667001664896,0.5235508015550328,46.48740498489894,1.7679668133343482,0.098,daily,5,origin0,daily|M01AB|A_lag1,,5,linear,0.0,2.850781530977061,0.0,,2.996048548054317,,,,,,,,
AR-LRX [linear],M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,8.11973134218945,2.8495142291607265,2.134879584453982,-0.0149932763283995,0.5407218879459933,43.381825758132415,1.7262783637531152,9.102299493927063,3.017001739132257,2.4429500652868312,-0.0950238472703448,0.5272123109758715,46.97503036355724,1.7984234383818338,6.174,daily,5,origin0,daily|M01AB|A_lag1,-0.1430898567653256,5,linear,0.2,2.850781530977061,0.0445,-0.0230191035821314,2.996048548054317,5.0,,,,,,,
AR-LRX-g [linear],M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",132,none,42,8.126955337359913,2.850781530977061,2.1312513955312906,-0.0158962996203342,0.5409623702793372,43.27284281888849,1.7388753316472731,8.976306902298385,2.996048548054317,2.413626326927887,-0.0798667001664896,0.5235508015550328,46.48740498489894,1.7679668133343482,7.29,daily,5,origin0,daily|M01AB|A_lag1,-0.2555812760269018,5,linear,0.0,2.850781530977061,0.0,-0.1941504392019868,2.996048548054317,5.0,False,global,1.0,"{""0"": 0.0}",0.0,0.0,2.850781530977061
AR-LRX-Aug [linear],M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",132,none,42,8.126955337359913,2.850781530977061,2.1312513955312906,-0.0158962996203342,0.5409623702793372,43.27284281888849,1.7388753316472731,8.976306902298385,2.996048548054317,2.413626326927887,-0.0798667001664896,0.5235508015550328,46.48740498489894,1.7679668133343482,6.783,daily,5,origin0,daily|M01AB|A_lag1,-0.2533930763849958,5,linear,0.0,2.850781530977061,0.0,-0.203005023327994,2.996048548054317,5.0,True,global,1.0,"{""0"": 0.0}",0.0,0.0,2.8618681023243404
XGBoost,M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,8.224046065201751,2.867759764206505,2.181691508187188,-0.0280329617585577,0.5441841483044698,44.421382666088334,1.69140140173784,9.71556026526174,3.116979349508389,2.5629620804256863,-0.1688002781222317,0.5446831086650388,48.80488768662509,1.9165987831195472,6.048,daily,5,origin0,daily|M01AB|A_lag1,,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AB,A_lag1,pacf_train,1,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,8.239980193176214,2.8705365688623816,2.190317617287393,-0.0300247804624846,0.5447110728730918,44.53003082993468,1.678470361594382,9.7587560027139,3.1239007671041503,2.572190390598569,-0.173996807047928,0.5458926063323951,48.95642210893679,1.923872604128712,6.787,daily,5,origin0,daily|M01AB|A_lag1,,5,,,,,,,5.0,,,,,,,
Naive,M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,16.10771388888889,4.013441651362194,3.0631666666666666,-1.0135175174201398,0.7615879663548235,60.64799416086532,1.6456212980051426,19.57956777777778,4.424880538249341,3.615,-1.355459040895902,0.7732350512444723,64.06895698406898,2.5853648715476534,0.0,daily,5,origin0,daily|M01AB|B_rich,,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AB,B_rich,pacf_train,8,7,1829,180,90,2014-01-09,2019-01-11,2019-01-12,2019-07-10,2019-07-11,2019-10-08,{},0,none,42,14.948653333333333,3.86634883751238,2.948111111111111,-0.8686311140198606,0.7336757337383941,58.6640132972522,1.9328171512145973,17.73320888888889,4.211081676824719,3.3453333333333326,-1.1333385739411683,0.7358743197759832,61.33166514191303,3.7311810979652233,0.0,daily,5,origin0,daily|M01AB|B_rich,,5,,,,,,,,,,,,,,
