model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,orig_MSE,orig_RMSE,orig_MAE,orig_R2,orig_nRMSE,orig_SMAPE,orig_RMSPE,origin_origin,origin_train_end,origin_val_start,origin_test_start,origin_test_end,group,config,resid_test_r2,cross_fit_folds_protocol,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
SeasonalNaive(store x dow x promo median),rossmann,V3_sales_lagged,,17,0,723962,74516,40282,2013-01-08,2015-03-27,2015-03-28,2015-06-19,2015-06-20,2015-07-31,{},0,none,42,0.031780766206327,0.1782716079647205,0.131405081184977,0.8148443734202275,0.0201810895867657,1.4972227454845908,0.0201095373585066,0.0219534243454204,0.1481668800556332,0.1109648056491152,0.8731923129275411,0.0169051932046207,1.2706707289258996,0.0168760472804513,0.0,1317423.925484361,1147.790889267013,764.6459941073307,0.8588127335695039,0.1644720475195887,11.044247627397636,0.1447680594439682,0,2015-03-27,2015-03-28,2015-06-20,2015-07-31,origin0,V3_sales_lagged,,5,,,,,,,,,,,,,,
S1 [structural],rossmann,V3_sales_lagged,,17,0,723962,74516,40282,2013-01-08,2015-03-27,2015-03-28,2015-06-19,2015-06-20,2015-07-31,{},0,none,42,0.0299213928888398,0.1729780127323697,0.1276062073327546,0.8256771340091307,0.0195818325270477,1.4537610915158414,0.0195419521102874,0.0214099108938208,0.1463212591998197,0.1093691173825925,0.8763317631839421,0.0166946159343273,1.2527560198487524,0.0167176931756731,4.797,1268960.271062187,1126.4813673834942,752.4033623294389,0.8640065445795653,0.1614185116110714,10.886369301998531,0.1453365384138352,0,2015-03-27,2015-03-28,2015-06-20,2015-07-31,origin0,V3_sales_lagged,,5,structural,0.0,0.1729780127323697,0.0,,0.1463212591998197,,,,,,,,
AR-LRX [struct_linear],rossmann,V3_sales_lagged,,17,0,723962,74516,40282,2013-01-08,2015-03-27,2015-03-28,2015-06-19,2015-06-20,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.0170123278833275,0.1304313148110054,0.0983604045559265,0.900885705260594,0.0147653688614367,1.119232827419378,0.0147962963240358,0.0154470653885629,0.1242862236475262,0.0937004726132769,0.9107744375929528,0.0141805147185742,1.0719916136852077,0.0142715781740055,457.366,951546.218644815,975.4723054217454,654.2055041621257,0.8980235542303946,0.1397797533258212,9.339442022494095,0.1296483385833715,0,2015-03-27,2015-03-28,2015-06-20,2015-07-31,origin0,V3_sales_lagged,0.2820269521184896,5,struct_linear,1.0,0.1708250329749426,23.6463,0.3006115258478896,0.1471271025786382,5.0,,,,,,,
AR-LRX-Aug [structural],rossmann,V3_sales_lagged,,17,0,723962,74516,40282,2013-01-08,2015-03-27,2015-03-28,2015-06-19,2015-06-20,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.0149888384496245,0.1224289118207972,0.0929007184961932,0.9126746109006424,0.0138594634651789,1.0566506446410722,0.0139034629619783,0.0140548674986414,0.1185532264370796,0.0886669513616792,0.9188160711709474,0.0135264048024596,1.0154960652731089,0.0136521779172368,441.241,847254.3026996107,920.464177847031,613.8893740720704,0.9092004352921902,0.1318973947385269,8.839419568863896,0.1237080568313765,0,2015-03-27,2015-03-28,2015-06-20,2015-07-31,origin0,V3_sales_lagged,0.330016201190602,5,structural,1.0,0.1729780127323697,29.2228,0.3943339858488572,0.1463212591998197,5.0,True,global,1.0,"{""0"": 1.0}",1.0,1.0,0.1224289118207972
AR-LRX-Aug [struct_linear],rossmann,V3_sales_lagged,,17,0,723962,74516,40282,2013-01-08,2015-03-27,2015-03-28,2015-06-19,2015-06-20,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,42,0.0150193577126899,0.1225534891901895,0.0930476341516093,0.9124968048263984,0.0138735661430024,1.058436889758771,0.0139167451601681,0.0140323053205623,0.1184580318955299,0.0885067766277958,0.9189463951501368,0.0135155435214748,1.013677221028552,0.0136422957629853,446.629,840325.8853456065,916.6929067826404,612.3592125484437,0.9099429482282156,0.131356992580336,8.823394676494704,0.1236729218220824,0,2015-03-27,2015-03-28,2015-06-20,2015-07-31,origin0,V3_sales_lagged,0.3477844000539059,5,struct_linear,1.0,0.1708250329749426,28.2579,0.3825438972571527,0.1471271025786382,5.0,True,global,1.0,"{""0"": 1.0}",1.0,1.0,0.1225534891901895
"LR-XGB (residual, tanpa gerbang)",rossmann,V3_sales_lagged,,17,0,723962,74516,40282,2013-01-08,2015-03-27,2015-03-28,2015-06-19,2015-06-20,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.0184660528304965,0.1358898555098816,0.1027124722422362,0.892416263343422,0.0153832984359477,1.167476823263773,0.0154326360284354,0.016662694172425,0.1290840585526543,0.0956548302106208,0.9037527050379393,0.0147279267043338,1.096277070177551,0.014917473148315,471.788,994391.066631718,997.1915897317416,660.3298892250542,0.893431906203601,0.142892005909919,9.528784235153928,0.1371082356760185,0,2015-03-27,2015-03-28,2015-06-20,2015-07-31,origin0,V3_sales_lagged,,5,,,,,,,5.0,,,,,,,
XGBoost,rossmann,V3_sales_lagged,,17,0,723962,74516,40282,2013-01-08,2015-03-27,2015-03-28,2015-06-19,2015-06-20,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,42,0.0180046009934692,0.1341812244446639,0.1014260978623481,0.8951046945620548,0.0151898742727197,1.1536516019742138,0.0152719289451751,0.0163317630397402,0.1277957864709953,0.0949824017777894,0.9056642342306408,0.0145809404923519,1.0888889188500153,0.0147721815554678,407.022,940295.2104257438,969.688202684628,652.2745995486451,0.8992293157656982,0.138950923589383,9.463059954629331,0.1347340395275265,0,2015-03-27,2015-03-28,2015-06-20,2015-07-31,origin0,V3_sales_lagged,,5,,,,,,,,,,,,,,
XGBoost (grid Zhao),rossmann,V3_sales_lagged,,17,0,723962,74516,40282,2013-01-08,2015-03-27,2015-03-28,2015-06-19,2015-06-20,2015-07-31,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 10, ""n_estimators"": 1000, ""subsample"": 0.9}",8,none,42,0.0178804952647415,0.1337179691168749,0.100907527604618,0.8958277379844677,0.0151374318373909,1.1478222135002707,0.0152258895072628,0.0161833526674206,0.1272138069056209,0.0944862360353158,0.9065214843687196,0.0145145391684521,1.083221734220125,0.0147158279240779,562.495,933771.0921792628,966.3183182467684,648.9091235846412,0.8999285002903389,0.1384680379012477,9.413934190452602,0.1345597937843295,0,2015-03-27,2015-03-28,2015-06-20,2015-07-31,origin0,V3_sales_lagged,,5,,,,,,,,,,,,,,
SeasonalNaive(store x dow x promo median),rossmann,V3_sales_lagged,,17,0,683787,77219,37472,2013-01-08,2015-02-13,2015-02-14,2015-05-08,2015-05-09,2015-06-19,{},0,none,42,0.0276705241830684,0.166344594691467,0.1147161716030965,0.8404887177557945,0.0189211951109235,1.311076104400916,0.0190459950373045,0.0259641973643385,0.1611340974602784,0.1225187650039657,0.8393326588699915,0.018283161697301,1.4018791680926417,0.0183635824888404,0.0,1382748.4794686495,1175.9032611012906,841.2918313747255,0.8509732036240688,0.1615149499221222,12.187737524880651,0.158279170811722,1,2015-02-13,2015-02-14,2015-05-09,2015-06-19,origin1,V3_sales_lagged,,5,,,,,,,,,,,,,,
S1 [structural],rossmann,V3_sales_lagged,,17,0,683787,77219,37472,2013-01-08,2015-02-13,2015-02-14,2015-05-08,2015-05-09,2015-06-19,{},0,none,42,0.026508042357304,0.1628129059912144,0.1130892319539317,0.8471900352077686,0.0185194761906757,1.2926088026062734,0.0186890278363392,0.0242604455938443,0.1557576501936402,0.1179527793187563,0.849875533085191,0.0176731203945457,1.3490536427372442,0.0177738723999317,4.292,1294733.1857702923,1137.8634301928737,813.2933352568424,0.8604591205834519,0.1562900291421043,11.736739481008437,0.1538615247586206,1,2015-02-13,2015-02-14,2015-05-09,2015-06-19,origin1,V3_sales_lagged,,5,structural,0.0,0.1628129059912144,0.0,,0.1557576501936402,,,,,,,,
