model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,stage1,cross_fit_folds,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,orig_MSE,orig_RMSE,orig_MAE,orig_R2,orig_nRMSE,orig_SMAPE,orig_RMSPE,group,config,resid_test_r2,cross_fit_folds_protocol,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
AR-LRX [struct_linear],rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,1,struct_linear,5.0,0.7,0.1986575110888859,8.4128,0.0686033769810835,0.1594603811759019,0.033103943721416,0.1819448919904486,0.1234657741560779,0.8148697867192194,0.0206651899674467,1.4102245444538852,0.0210222615646614,0.0170848005808364,0.1307088389545117,0.0980795408759842,0.9006499834973428,0.0148527734762714,1.1200704353242248,0.0149025186719334,376.299,1021757.4344284484,1010.8201790765992,693.2948857537566,0.8953118180442827,0.1399100563885944,9.773268607203264,0.1282042487992145,seed1,V3_sales_lagged,0.266637478068235,5,,,,,,,
AR-LRX-Aug [structural],rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 6, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,1,structural,5.0,0.9000000000000002,0.2021597443509143,15.7764,0.2343942327243278,0.1607401521589509,0.028990613220688,0.1702663008956501,0.112560116813991,0.8378731412229145,0.0193387427070377,1.285573698484998,0.0197354725055395,0.0147839835669798,0.1215894056527125,0.0914533332440888,0.9140294904582053,0.0138165093785486,1.0438037033834346,0.0138723875810386,331.078,907612.9133030764,952.68720643403,650.517505310479,0.9070069444942366,0.1318637315834362,9.117484081408511,0.1199633164241541,seed1,V3_sales_lagged,0.3733008339254435,5,True,global,1.0,"{""0"": 0.9}",0.9,0.9,0.1767095493364285
AR-LRX-Aug [struct_linear],rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 6, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,1,struct_linear,5.0,0.9000000000000002,0.1986575110888859,14.5261,0.2198115647107981,0.1594603811759019,0.0288321797070888,0.169800411386689,0.1125538087701171,0.8387591634567088,0.0192858272604912,1.2855480258229612,0.0197045512915936,0.014667153831912,0.1211080254645086,0.0910695593152058,0.9147088683679484,0.0137618089394004,1.0395467363545974,0.0138239748177624,341.898,897165.7093267466,947.1883177735812,647.0610761626956,0.9080773539221008,0.1311026171552886,9.07944002097209,0.1197389699407426,seed1,V3_sales_lagged,0.378977975506682,5,True,global,1.0,"{""0"": 0.9}",0.9,0.9,0.1754828087809801
"LR-XGB (residual, tanpa gerbang)",rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,1,,5.0,,,,,,0.0354159635297659,0.1881912950424804,0.1231084129931233,0.8019400668093737,0.0213746526199638,1.4039485302548276,0.0218511015367435,0.0176850580952367,0.1329851799834732,0.0991114395646123,0.8971594192569616,0.015111439821473,1.1310448243449625,0.0152094916049565,367.668,1134894.4165539392,1065.3142337141371,709.0325653005664,0.8837199229705762,0.1474527097853103,9.872916516170491,0.134725372168491,seed1,V3_sales_lagged,,5,,,,,,,
XGBoost,rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,1,,,,,,,,0.0343612220830377,0.1853678021745894,0.1214080204353224,0.8078385939042754,0.021053962020473,1.385401028015149,0.0215454739740878,0.0171913039579864,0.1311156129451654,0.0978385097894897,0.9000306545079658,0.0148989962259151,1.1172515500935654,0.0150193514835707,318.868,1032349.5420244578,1016.046033418003,693.7721290011317,0.8942265619453869,0.1406333794788124,9.747425266645616,0.1321949501865713,seed1,V3_sales_lagged,,5,,,,,,,
XGBoost (grid Zhao),rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 10, ""n_estimators"": 1000, ""subsample"": 0.9}",8,none,1,,,,,,,,0.0341238945309879,0.184726539866333,0.1208671028800425,0.8091658224876165,0.0209811278382428,1.3794208454058483,0.0214787282722019,0.0172106468031582,0.1311893547630989,0.0976200014459511,0.899918173710901,0.0149073756937939,1.1147092148048034,0.0150345631426208,418.992,1030966.6384910712,1015.36527343172,692.4415249324474,0.8943682527732215,0.1405391538489333,9.725171618322957,0.1332885177281487,seed1,V3_sales_lagged,,5,,,,,,,
AR-LRX [struct_linear],rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.2, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,2,struct_linear,5.0,0.7,0.1986575110888859,8.8123,0.0826873172594002,0.1594603811759019,0.0328157831092244,0.1811512713431084,0.1230824826192183,0.8164812936757041,0.0205750510179002,1.4057742719490771,0.0209246305487006,0.0170636549677222,0.1306279256810052,0.0979871761034051,0.9007729475905976,0.014843579097894,1.11903736507196,0.0148950463137415,300.317,1022406.5050499076,1011.1411894735114,692.6613899077558,0.895245314957511,0.139954488211052,9.76411882960919,0.1280546467728189,seed2,V3_sales_lagged,0.2692805699897876,5,,,,,,,
AR-LRX-Aug [structural],rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 6, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,2,structural,5.0,0.9000000000000002,0.2021597443509143,15.5732,0.2332120857279662,0.1607401521589509,0.0291306190119753,0.1706769434105713,0.1128589008791252,0.8370901740266286,0.0193853832336649,1.2889306786625263,0.0197988247415742,0.0147539517334255,0.1214658459544309,0.0912988545344183,0.9142041289121404,0.0138024689798728,1.041900087673003,0.013858071502982,265.475,910418.6974086869,954.1586332516656,650.0087437151919,0.9067194668336108,0.1320673953144226,9.10202795320999,0.1201868814701264,seed2,V3_sales_lagged,0.3778236491524432,5,True,global,1.0,"{""0"": 0.9}",0.9,0.9,0.1775346981650136
AR-LRX-Aug [struct_linear],rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 6, ""n_estimators"": 900, ""subsample"": 0.8}",88,none,2,struct_linear,5.0,0.9000000000000002,0.1986575110888859,14.3246,0.2156922268402371,0.1594603811759019,0.028968239349873,0.1702005856331671,0.1126601805310043,0.837998264667745,0.0193312788075673,1.2869125726614774,0.0197545404245527,0.014693090303479,0.1212150580723329,0.0911933275785327,0.9145580448996844,0.0137739713233012,1.0409236874979706,0.0138362000292041,277.136,899193.2493102109,948.2580077754212,648.1144901178891,0.9078696143279864,0.1312506755256829,9.091755435281565,0.1200790098211149,seed2,V3_sales_lagged,0.3779084274779748,5,True,global,1.0,"{""0"": 0.9}",0.9,0.9,0.1759523860970822
"LR-XGB (residual, tanpa gerbang)",rossmann,V3_sales_lagged,,17,0,589839,119588,129333,2013-01-08,2014-10-23,2014-10-24,2015-03-12,2015-03-13,2015-07-31,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_bin"": 256, ""max_depth"": 9, ""n_estimators"": 900, ""subsample"": 0.8}",8,none,2,,5.0,,,,,,0.0350367652378767,0.1871811027798391,0.1226649728454506,0.8040606921114201,0.0212599155983154,1.3987606788964355,0.0217117227088895,0.0175498851922926,0.1324759796804412,0.0986793801005283,0.8979454647290563,0.0150535781128427,1.1261672384336263,0.0151548072170133,301.608,1130871.8022574785,1063.4245635010875,705.8291729665495,0.8841320757606767,0.1471911559782769,9.830015274145072,0.134674168731005,seed2,V3_sales_lagged,,5,,,,,,,
