config,stage1,learner,setting,subsampled,val_r2,test_r2_refit,is_best_on_val,runtime_s
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0026307873794957,,False,0.14
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0044485190667324,,False,0.36
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.018340050548206,,False,0.59
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,5.638329992740943e-05,-0.0937277523108826,True,0.19
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0291183802392902,,False,0.54
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.0504170549876472,,False,0.92
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0033672895244598,,False,0.14
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0154989386338866,,False,0.43
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.0316187818386908,,False,0.84
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.009651914259662,,False,0.22
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0538711239267974,,False,0.67
pharma|daily|M01AB|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.0732554168268992,,False,1.01
pharma|daily|M01AB|A_lag1,linear,LightGBM,"leaves=15,n=100",False,0.0028744732372373,,False,0.49
pharma|daily|M01AB|A_lag1,linear,LightGBM,"leaves=15,n=400",False,0.0159250003313808,,False,0.83
pharma|daily|M01AB|A_lag1,linear,LightGBM,"leaves=63,n=100",False,0.0056622419412928,,False,0.38
pharma|daily|M01AB|A_lag1,linear,LightGBM,"leaves=63,n=400",False,0.0193587720430868,-0.1152182521376317,True,1.83
pharma|daily|M01AB|A_lag1,linear,RandomForest,"depth=6,leaf=5",False,0.0018852650176283,,False,0.81
pharma|daily|M01AB|A_lag1,linear,RandomForest,"depth=6,leaf=50",False,-0.0130652485508113,,False,0.64
pharma|daily|M01AB|A_lag1,linear,RandomForest,"depth=None,leaf=5",False,0.0043071510897226,-0.0996327601432998,True,0.79
pharma|daily|M01AB|A_lag1,linear,RandomForest,"depth=None,leaf=50",False,-0.0133392462798493,,False,0.59
pharma|daily|M01AB|A_lag1,linear,kNN,k=10,False,-0.0751188640192501,,False,0.02
pharma|daily|M01AB|A_lag1,linear,kNN,k=50,False,-0.0364557196814534,,False,0.01
pharma|daily|M01AB|A_lag1,linear,kNN,k=200,False,-0.0146667991597315,-0.027009555674214,True,0.02
pharma|daily|M01AB|A_lag1,linear,Ridge,alpha=0.1,False,-0.0050344355331388,,False,0.01
pharma|daily|M01AB|A_lag1,linear,Ridge,alpha=10,False,-0.0050013271725912,,False,0.0
pharma|daily|M01AB|A_lag1,linear,Ridge,alpha=1000,False,-0.0030718035292747,-0.0132112206471743,True,0.0
pharma|daily|M01AB|A_lag1,linear,MLP,"hidden=(32,)",False,-0.0094237151718068,,False,0.17
pharma|daily|M01AB|A_lag1,linear,MLP,"hidden=(64, 32)",False,-0.0049684168223251,-0.0171687302524332,True,0.18
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0326229141789218,0.0157892826570177,True,0.12
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0835543479016129,,False,0.33
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1157276739041335,,False,0.6
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0733429174832898,,False,0.3
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1473648919829369,,False,0.83
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1747350144532651,,False,0.82
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0624217549753061,,False,0.15
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1253811771895916,,False,0.38
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1536573919414225,,False,0.6
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.1245506469259261,,False,0.16
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1787891965409693,,False,0.53
pharma|daily|M01AE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1912429317171484,,False,0.8
pharma|daily|M01AE|A_lag1,linear,LightGBM,"leaves=15,n=100",False,-0.0867397791323987,-0.0013137704111678,True,0.23
pharma|daily|M01AE|A_lag1,linear,LightGBM,"leaves=15,n=400",False,-0.1651748771320285,,False,1.01
pharma|daily|M01AE|A_lag1,linear,LightGBM,"leaves=63,n=100",False,-0.1249912939041775,,False,0.48
pharma|daily|M01AE|A_lag1,linear,LightGBM,"leaves=63,n=400",False,-0.2288806522188233,,False,1.87
