config,dataset,stage1,xgb_best_val_r2,xgb_test_r2,other_best_val_r2,other_best_learner,other_best_test_r2,n_learners_val_r2_gt0,n_learners_val_r2_gt_thr,n_learners,val_r2 | XGBoost,test_r2 | XGBoost,val_r2 | LightGBM,test_r2 | LightGBM,val_r2 | RandomForest,test_r2 | RandomForest,val_r2 | kNN,test_r2 | kNN,val_r2 | Ridge,test_r2 | Ridge,val_r2 | MLP,test_r2 | MLP,regime_xgb,agree_at_0,agree_at_thr,agree_on_test_at_thr
pharma|daily|M01AB|A_lag1,pharma,linear,5.638329992740943e-05,-0.0937277523108826,0.0193587720430868,LightGBM,-0.0132112206471743,3,1,6,5.638329992740943e-05,-0.0937277523108826,0.0193587720430868,-0.1152182521376317,0.0043071510897226,-0.0996327601432998,-0.0146667991597315,-0.027009555674214,-0.0030718035292747,-0.0132112206471743,-0.0049684168223251,-0.0171687302524332,structured,True,False,True
pharma|daily|M01AE|A_lag1,pharma,linear,-0.0326229141789218,0.0157892826570177,-0.0021270344866834,Ridge,0.0019306467595933,0,0,6,-0.0326229141789218,0.0157892826570177,-0.0867397791323987,-0.0013137704111678,-0.0195785020265386,0.0019306467595933,-0.0064337131792751,-0.0012900748398634,-0.0021270344866834,0.0001448273070557,-0.0081509037075042,-0.0009017937677662,noise,True,True,False
pharma|daily|M01AE|B_rich,pharma,linear,-0.0144510800297208,0.0184096021846558,0.0021430969584972,RandomForest,0.0074989100919197,1,0,6,-0.0144510800297208,0.0184096021846558,-0.0660238134105346,-0.0366539117187967,0.0021430969584972,0.0027008077773902,-0.0037564302313977,0.0006523891820698,-0.0017032364387139,0.0074989100919197,-0.0130931602161363,-0.0013771986188018,noise,False,True,False
pharma|daily|N02BA|A_lag1,pharma,linear,-0.2222768132435115,-0.1857246025210901,-0.1671129538785813,MLP,-0.1647121980334451,0,0,6,-0.2222768132435115,-0.1857246025210901,-0.2334942675178386,-0.1951943006188725,-0.2020870386415731,-0.1799908715420264,-0.2058396998453422,-0.1647121980334451,-0.2043779383455608,-0.1783803437198192,-0.1671129538785813,-0.1725379197144811,noise,True,True,True
pharma|daily|N02BE|A_lag1,pharma,linear,-0.0358840175845072,0.01549479352617,-0.0014739861796888,Ridge,0.0114896107770698,0,0,6,-0.0358840175845072,0.01549479352617,-0.0402334454824004,0.0095162492923609,-0.0153862824821375,0.0001965426542905,-0.0111151044767414,0.0114896107770698,-0.0014739861796888,0.002283112022091,-0.0021659459632841,0.0034901608765899,noise,True,True,True
pharma|daily|N05B|A_lag1,pharma,linear,-0.018501795636417,-0.0296611068898553,0.0019202395650512,kNN,-0.0086731214339155,1,0,6,-0.018501795636417,-0.0296611068898553,-0.0347403818416238,-0.0300172744796032,-0.0111908171290202,-0.0143325862045262,0.0019202395650512,-0.0157339812670787,-0.0037732169537638,-0.0086731214339155,-0.0079230746962302,-0.011690238235233,noise,False,True,True
pharma|daily|N05C|A_lag1,pharma,linear,-0.021284241583336,-0.014032762004851,-0.0031910803219026,kNN,0.0111155805386619,0,0,6,-0.021284241583336,-0.014032762004851,-0.0057454823723921,-0.0147669371950789,-0.0065171316669929,-0.0159302488270902,-0.0031910803219026,0.0111155805386619,-0.0033528484196103,-0.0145691248446693,-0.0090911446194379,-0.0526700118860818,noise,True,True,False
pharma|daily|N05C|B_rich,pharma,linear,-0.0168836176139626,-0.0343724876023834,0.0006197385341318,kNN,-0.0105911634017448,1,0,6,-0.0168836176139626,-0.0343724876023834,-0.032960572199336,-0.0465957001638233,-0.0057408528304969,-0.0128701459287261,0.0006197385341318,-0.0139306636518179,-0.0009207673157787,-0.0105911634017448,-0.0292277137376311,-0.0269124938612521,noise,False,True,True
pharma|daily|R03|A_lag1,pharma,linear,-0.0540157087435295,-0.0798517401990888,-0.0546230899278976,RandomForest,-0.0506382745287381,0,0,6,-0.0540157087435295,-0.0798517401990888,-0.0633962660733504,-0.0776393312310188,-0.0546230899278976,-0.0726618356786263,-0.0584201224580605,-0.0585407692211756,-0.063365038226868,-0.0518357067587766,-0.0593115204976768,-0.0506382745287381,noise,True,True,True
pharma|daily|R06|A_lag1,pharma,linear,-0.088748669641681,-0.0459051027548118,-0.0446336691085194,kNN,-0.0451224727441121,0,0,6,-0.088748669641681,-0.0459051027548118,-0.0712186862025481,-0.0667831562890355,-0.053803501684243,-0.0537116405594788,-0.0446336691085194,-0.0463942934840639,-0.0560273847861041,-0.0451224727441121,-0.0569323447127281,-0.0500035850580395,noise,True,True,True
