reference,subset,granularity,n_configs,geo_mean_rel_diff_pct,ci_lo_pct,ci_hi_pct,p_boot,configs_better,configs_equal,configs_worse
Naive,all32,all,32,-16.68783453849887,-21.273743752955195,-11.808974572686822,0.0005,30,0,2
Naive,all32,daily,16,-22.647530339031686,-26.50046227883284,-18.47748655771951,0.0005,16,0,0
Naive,all32,weekly,16,-10.268968213863028,-16.855290407051026,-2.7244168573498317,0.01,14,0,2
Naive,distinct,all,20,-18.30661753342563,-23.19077707951808,-12.408137507559617,0.0005,19,0,1
Naive,distinct,daily,10,-23.338858566400788,-27.36619741037525,-19.0259596631411,0.0005,10,0,0
Naive,distinct,weekly,10,-12.944046827027956,-19.538094050621517,-3.5776374704405063,0.004,9,0,1
S1 [linear],all32,all,32,0.21496667163514172,-0.053262463701633234,0.5376200451217643,0.149,7,17,8
S1 [linear],all32,daily,16,0.22524814048605624,-0.06270244989820983,0.5742198660676934,0.178,3,6,7
S1 [linear],all32,weekly,16,0.20468625749452407,-0.14838293735073282,0.7951221287056498,0.677,4,11,1
S1 [linear],distinct,all,20,0.2815242841536447,-0.054897542785590225,0.6664553963451963,0.161,4,11,5
S1 [linear],distinct,daily,10,0.1796287006593511,-0.056072059000056296,0.5037359913281418,0.179,2,4,4
S1 [linear],distinct,weekly,10,0.38352350857844275,-0.13190682312936852,1.1738045244685802,0.684,2,7,1
XGBoost,all32,all,32,-1.6289060353592566,-3.1141887991936077,0.0421241038935793,0.074,25,0,7
XGBoost,all32,daily,16,-0.5533587328475753,-1.142449107391741,-0.10288699391586276,0.015,12,0,4
XGBoost,all32,weekly,16,-2.692820949032071,-5.384756523500345,0.37980611244891266,0.087,13,0,3
XGBoost,distinct,all,20,-1.5003475772235153,-2.8039556719090197,-0.023849666126252167,0.043,15,0,5
XGBoost,distinct,daily,10,-0.5395201668152771,-1.0607985795337158,-0.1634414138398148,0.008,7,0,3
XGBoost,distinct,weekly,10,-2.4518930163991426,-4.8438662412977065,0.08446739895174613,0.061,8,0,2
"LR-XGB (residual, tanpa gerbang)",all32,all,32,-1.4500656925399924,-3.16631269084725,0.26962755299096575,0.103,21,0,11
"LR-XGB (residual, tanpa gerbang)",all32,daily,16,-0.4386166510860434,-1.194500397480549,0.2725269066179756,0.237,9,0,7
"LR-XGB (residual, tanpa gerbang)",all32,weekly,16,-2.4512393729147153,-5.433415180988963,0.5864123330539641,0.113,12,0,4
"LR-XGB (residual, tanpa gerbang)",distinct,all,20,-1.6702675399998257,-3.2982728186012222,0.14648098237580606,0.062,13,0,7
"LR-XGB (residual, tanpa gerbang)",distinct,daily,10,-0.3229956192533523,-1.0934128425339176,0.3080344477472828,0.354,5,0,5
"LR-XGB (residual, tanpa gerbang)",distinct,weekly,10,-2.999329226202141,-5.451403150310587,0.10227416465543539,0.056,8,0,2
