scale,reference,reference_type,rmse_proposed,rmse_reference,rel_diff_pct,n_obs,n_dates,n_stores,obs_DM,obs_p,dateDM_NW4,dateDM_NW4_p,dateDM_NW7,dateDM_NW7_p,nw_lag_rule,date_mbb7_ci_lo_pct,date_mbb7_ci_hi_pct,date_mbb7_p_boot,date_mbb14_ci_lo_pct,date_mbb14_ci_hi_pct,date_mbb14_p_boot,store_cb_ci_lo_pct,store_cb_ci_hi_pct,store_cb_p_boot,twoway_ci_lo_pct,twoway_ci_hi_pct,twoway_p_boot
orig,MLP (Diamantini),retrained baseline,954.9045812855868,1257.2473792192382,-24.04799587821841,129333,141,1115,-52.35238924013149,0.0,-9.038942592995722,1.1609088356407087e-15,-10.205348356871102,1.2652602924514902e-18,4,-28.930868057398815,-19.210793212066292,0.0005,-28.202104596213253,-20.497371615431884,0.0005,-26.015187695679327,-22.211058831371293,0.0005,-29.261161460700325,-18.94993356348373,0.0005
orig,CNN (Diamantini),retrained baseline,954.9045812855868,1288.277542391588,-25.87741772530785,129333,141,1115,-54.049505168345505,0.0,-9.19534569572584,4.695933860196755e-16,-10.429109653799605,3.3685836196457377e-19,4,-30.686459512396702,-21.60213262864176,0.0005,-29.68623228291799,-22.712137699415827,0.0005,-27.914859954942724,-23.904811389332043,0.0005,-31.11144575727442,-21.133415858394248,0.0005
orig,RNN (Diamantini),retrained baseline,954.9045812855868,1242.7339608491895,-23.16098124227024,129333,141,1115,-44.688876504700275,0.0,-8.455612958537229,3.276585714025297e-14,-9.423375644040538,1.2472837838839893e-16,4,-28.28676990044753,-18.18245308770488,0.0005,-27.302516016706736,-19.370793641722983,0.0005,-25.206260086070223,-21.29040198164428,0.0005,-28.527602649856544,-17.89008681110652,0.0005
orig,LSTM (Diamantini / Qureshi),retrained baseline,954.9045812855868,1253.758199975909,-23.836623257663614,129333,141,1115,-56.32087260348247,0.0,-8.448894353040254,3.403852824225461e-14,-9.343126976157468,1.9903442899621029e-16,4,-28.746615941187816,-19.091539962881722,0.0005,-27.87621202489507,-20.266646122696706,0.0005,-25.448711110249228,-22.20387682651414,0.0005,-28.82260776238678,-18.890610742123215,0.0005
orig,GRU (Qureshi),retrained baseline,954.9045812855868,1275.2939187792822,-25.12278407164159,129333,141,1115,-58.09374368505915,0.0,-9.308426083652835,2.435455795841328e-16,-10.325112449767907,6.23373224239692e-19,4,-29.795510988313147,-20.57329329044336,0.0005,-29.230380553333237,-21.572482134318516,0.0005,-26.864410102480182,-23.40156997018775,0.0005,-30.065037053427332,-20.41538717473806,0.0005
orig,Transformer (Diamantini),retrained baseline,954.9045812855868,2319.5413953128564,-58.83218194703568,129333,141,1115,-130.27788132322584,0.0,-24.804481582699598,4.305680742070957e-53,-25.583794612435796,1.2324226439906947e-54,4,-63.2055542328195,-54.45198683364391,0.0005,-62.723885554760415,-54.89461648795295,0.0005,-60.58216822994911,-57.03224187721547,0.0005,-63.76490940206407,-54.24931583316006,0.0005
orig,LightGBM (Zeng),retrained baseline,954.9045812855868,1015.7271177590449,-5.988078432684574,129333,141,1115,-22.972162206942603,0.0,-3.297700328012514,0.0012358048000705862,-3.313657890703528,0.0011722681531284678,4,-9.904033216515794,-1.9975057405189751,0.003,-9.542382068097048,-2.7663737836037137,0.0005,-6.9864254714177605,-4.870719902589837,0.0005,-10.25987697267718,-2.0213454703866045,0.003
orig,XGBoost (grid Zhao),retrained baseline,954.9045812855868,1014.2690309403869,-5.852929335697043,129333,141,1115,-19.338295876643084,0.0,-4.025615740331924,9.268736480584908e-05,-4.0832030146368075,7.435996651540696e-05,4,-9.136096242380205,-2.5808525402053735,0.0005,-8.761308768401058,-3.1973147046032957,0.0005,-7.021415792092873,-4.635000878371968,0.0005,-9.581049794333186,-2.375177226520432,0.002
orig,XGBoost,internal,954.9045812855868,1017.8310455236158,-6.18240763187341,129333,141,1115,-21.048446551061275,0.0,-3.955463207872078,0.00012086376097229628,-4.016968592803979,9.578688342432693e-05,4,-9.72080936125935,-2.699502078342527,0.0005,-9.365769327894576,-3.3960276114321086,0.0005,-7.325135038637493,-4.971385558717942,0.0005,-10.154137027149064,-2.5292564934794224,0.001
orig,AR-LRX [struct_linear],internal,954.9045812855868,998.1491900948275,-4.3324794768537895,129333,141,1115,-19.081032486150395,0.0,-3.3559313519490694,0.0010183904259695401,-3.322437876188971,0.0011386241290962849,4,-6.211050403405058,-2.5125372437465483,0.0005,-6.1429506695137945,-2.497503258894406,0.0005,-5.260524415830316,-3.3772366879383564,0.0005,-6.463506720474188,-2.015752999675693,0.0005
