feature_set,model,n_features,RMSE (log),MAE (log),R2 (log),RMSE (asli),MSE (asli),MAE (asli),RMSPE (asli),R2 (asli)
V0_customers_contemporaneous,SeasonalNaive(store x dow x promo median),16,0.1648,0.1211,0.8421,1274.6317,1624685.9496,850.4701,0.157,0.8335
V0_customers_contemporaneous,LR,16,0.2157,0.1648,0.7294,3143.046,9878738.4425,1295.489,0.2454,-0.0122
V0_customers_contemporaneous,XGBoost,16,0.087,0.0647,0.956,676.4418,457573.5019,459.2102,0.0845,0.9531
V0_customers_contemporaneous,LR+XGB (average),16,0.1325,0.1025,0.8979,1367.9014,1871154.3613,779.1527,0.1342,0.8083
V0_customers_contemporaneous,LR-XGB (residual),16,0.0871,0.0646,0.9559,713.2638,508745.2469,462.7674,0.0846,0.9479
V1_customers_dropped,SeasonalNaive(store x dow x promo median),15,0.1648,0.1211,0.8421,1274.6317,1624685.9496,850.4701,0.157,0.8335
V1_customers_dropped,LR,15,0.3629,0.2811,0.234,2846.7967,8104251.4407,1979.6238,0.4058,0.1696
V1_customers_dropped,XGBoost,15,0.2121,0.1524,0.7384,1656.8557,2745170.946,1081.08,0.2118,0.7187
V1_customers_dropped,LR+XGB (average),15,0.2523,0.1924,0.6297,2102.8496,4421976.2567,1394.4963,0.2563,0.5469
V1_customers_dropped,LR-XGB (residual),15,0.2125,0.1525,0.7375,1661.7146,2761295.2795,1081.7772,0.2115,0.7171
V2_customers_lagged,SeasonalNaive(store x dow x promo median),17,0.1648,0.1211,0.8421,1274.6317,1624685.9496,850.4701,0.157,0.8335
V2_customers_lagged,LR,17,0.2757,0.2124,0.558,2519.1638,6346186.4787,1542.6011,0.3035,0.3498
V2_customers_lagged,XGBoost,17,0.1418,0.1071,0.8831,1111.4391,1235296.9082,761.0996,0.1375,0.8734
V2_customers_lagged,LR+XGB (average),17,0.185,0.1428,0.8009,1561.0382,2436840.3529,1041.0908,0.1854,0.7503
V2_customers_lagged,LR-XGB (residual),17,0.1427,0.1077,0.8816,1150.3149,1323224.2581,773.3876,0.1388,0.8644
V3_sales_lagged,SeasonalNaive(store x dow x promo median),17,0.1648,0.1211,0.8421,1274.6317,1624685.9496,850.4701,0.157,0.8335
V3_sales_lagged,LR,17,0.2449,0.1863,0.6511,2049.0594,4198644.5358,1325.6566,0.2753,0.5698
V3_sales_lagged,XGBoost,17,0.1314,0.098,0.8996,1017.831,1035980.0372,695.0581,0.1326,0.8939
V3_sales_lagged,LR+XGB (average),17,0.1669,0.1263,0.8379,1351.8832,1827588.0565,907.2516,0.174,0.8127
V3_sales_lagged,LR-XGB (residual),17,0.1322,0.0986,0.8983,1058.8243,1121108.926,704.8384,0.1341,0.8851
