eksperimen,category,feature_set,pembanding,RMSE usulan,RMSE pembanding,DM,p_value,signifikan (a=0.05),varian,RMSE usulan (log),RMSE pembanding (log),usulan lebih baik
PharmaSales harian,M01AB,A_lag1,GRNN,3.0338,2.914,3.48,0.0006,True,,,,
PharmaSales harian,M01AB,A_lag1,SeasonalNaive(s=7),3.0338,4.0449,-5.834,0.0,True,,,,
PharmaSales harian,M01AB,B_rich,GRNN,3.0338,2.914,3.48,0.0006,True,,,,
PharmaSales harian,M01AB,B_rich,SeasonalNaive(s=7),3.0338,4.0449,-5.834,0.0,True,,,,
PharmaSales harian,M01AE,A_lag1,RBFNN,2.3027,2.3035,-0.054,0.9568,False,,,,
PharmaSales harian,M01AE,A_lag1,SeasonalNaive(s=7),2.3027,2.8647,-4.515,0.0,True,,,,
PharmaSales harian,M01AE,B_rich,LR,2.1891,2.2025,-0.741,0.4593,False,,,,
PharmaSales harian,M01AE,B_rich,SeasonalNaive(s=7),2.1891,2.8647,-5.868,0.0,True,,,,
PharmaSales harian,N02BA,A_lag1,GRNN,2.1631,2.1503,1.183,0.2379,False,,,,
PharmaSales harian,N02BA,A_lag1,SeasonalNaive(s=7),2.1631,2.6936,-3.996,0.0001,True,,,,
PharmaSales harian,N02BA,B_rich,GRNN,2.1631,2.1503,1.183,0.2379,False,,,,
PharmaSales harian,N02BA,B_rich,SeasonalNaive(s=7),2.1631,2.6936,-3.996,0.0001,True,,,,
PharmaSales harian,N02BE,A_lag1,SeasonalNaive(s=7),14.2362,16.3242,-2.152,0.0322,True,,,,
PharmaSales harian,N02BE,A_lag1,XGBoost,14.2362,14.265,-0.686,0.4934,False,,,,
PharmaSales harian,N02BE,B_rich,SeasonalNaive(s=7),14.2362,16.3242,-2.152,0.0322,True,,,,
PharmaSales harian,N02BE,B_rich,XGBoost,14.2362,14.265,-0.686,0.4934,False,,,,
PharmaSales harian,N05B,A_lag1,GRNN,4.4602,4.3883,2.18,0.03,True,,,,
PharmaSales harian,N05B,A_lag1,SeasonalNaive(s=7),4.4602,5.7878,-5.291,0.0,True,,,,
PharmaSales harian,N05B,B_rich,GRNN,4.4602,4.3883,2.18,0.03,True,,,,
PharmaSales harian,N05B,B_rich,SeasonalNaive(s=7),4.4602,5.7878,-5.291,0.0,True,,,,
PharmaSales harian,N05C,A_lag1,GRNN,1.1449,1.1433,1.137,0.2563,False,,,,
PharmaSales harian,N05C,A_lag1,SeasonalNaive(s=7),1.1449,1.6275,-5.75,0.0,True,,,,
PharmaSales harian,N05C,B_rich,GRNN,1.1946,1.1455,2.796,0.0055,True,,,,
PharmaSales harian,N05C,B_rich,SeasonalNaive(s=7),1.1946,1.6275,-5.42,0.0,True,,,,
PharmaSales harian,R03,A_lag1,LR,8.4016,8.288,1.721,0.0862,False,,,,
PharmaSales harian,R03,A_lag1,SeasonalNaive(s=7),8.4016,10.8831,-4.629,0.0,True,,,,
PharmaSales harian,R03,B_rich,LR,8.4016,8.288,1.721,0.0862,False,,,,
PharmaSales harian,R03,B_rich,SeasonalNaive(s=7),8.4016,10.8831,-4.629,0.0,True,,,,
PharmaSales harian,R06,A_lag1,LR,2.5461,2.546,0.006,0.9954,False,,,,
PharmaSales harian,R06,A_lag1,SeasonalNaive(s=7),2.5461,3.1969,-3.91,0.0001,True,,,,
PharmaSales harian,R06,B_rich,LR,2.5461,2.546,0.006,0.9954,False,,,,
PharmaSales harian,R06,B_rich,SeasonalNaive(s=7),2.5461,3.1969,-3.91,0.0001,True,,,,
PharmaSales mingguan,M01AB,A_lag1,RBFNN,8.8407,8.7108,0.379,0.7064,False,,,,
PharmaSales mingguan,M01AB,A_lag1,SeasonalNaive(s=52),8.8407,10.7591,-1.907,0.063,False,,,,
