category,feature_set,model,n_features,n_lags,lag_rule,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,scaler,seed,n_grid,params
M01AB,A_lag1,Naive,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,0,{}
M01AB,A_lag1,SeasonalNaive(s=7),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,0,{}
M01AB,A_lag1,LR,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,{}
M01AB,A_lag1,GRNN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,16,"{""sigma"": 50.0}"
M01AB,A_lag1,P_NN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,16,"{""sigma"": 0.2}"
M01AB,A_lag1,RBFNN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,60,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}"
M01AB,A_lag1,XGBoost,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,A_lag1,LR+XGB (average),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,A_lag1,LR-XGB (residual),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,B_rich,Naive,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,0,{}
M01AB,B_rich,SeasonalNaive(s=7),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,0,{}
M01AB,B_rich,LR,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,1,{}
M01AB,B_rich,GRNN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,16,"{""sigma"": 50.0}"
M01AB,B_rich,P_NN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,16,"{""sigma"": 0.2}"
M01AB,B_rich,RBFNN,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,standard,42,60,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}"
M01AB,B_rich,XGBoost,1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,B_rich,LR+XGB (average),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AB,B_rich,LR-XGB (residual),1,1,pacf_train,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,A_lag1,Naive,1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,0,{}
M01AE,A_lag1,SeasonalNaive(s=7),1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,0,{}
M01AE,A_lag1,LR,1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,1,{}
M01AE,A_lag1,GRNN,1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,standard,42,16,"{""sigma"": 5.0}"
M01AE,A_lag1,P_NN,1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,standard,42,16,"{""sigma"": 0.75}"
M01AE,A_lag1,RBFNN,1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,standard,42,60,"{""alpha"": 0.1, ""gamma"": 1.0, ""n_centers"": 10}"
M01AE,A_lag1,XGBoost,1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,A_lag1,LR+XGB (average),1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,A_lag1,LR-XGB (residual),1,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}"
M01AE,B_rich,Naive,22,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,0,{}
M01AE,B_rich,SeasonalNaive(s=7),22,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,0,{}
M01AE,B_rich,LR,22,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,none,42,1,{}
M01AE,B_rich,GRNN,22,21,pacf_train,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,standard,42,16,"{""sigma"": 2.0}"
